Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Day],Item.[Item],D Base Forecast LC,D Base Forecast Quantity,D Base Forecast Supply Code,D Buff1 Forecast Quantity,D Buff2 Forecast Quantity,D Forecast Delivery Policy,D Forecast Early Capacity Layer Least,D Forecast Early Capacity Layer Max,D Forecast Fixed Stock Consumption Early Date,D Forecast Fixed Stock Consumption Late Date,D Forecast Force ICMP,D Forecast Is Fixed,D Forecast Is No Fair Share,D Forecast Late Capacity Layer Least,D Forecast Late Capacity Layer Max,D Forecast Quantity Policy,D Forecast Reduce Lead Time,D Is Stock Redevour Forecast
Consensus_v2,DC-Shanghai-CN,Wholesale-APAC,2025-06-02,NK-REACT-PPL-S,133121.36,1630,SUPP-02,217,63,Economy,978,1467,2025-05-30,2025-06-03,0,0,0,1141,1630,Fixed,0,0
Consensus_v2,DC-Johannesburg-ZA,Wholesale-MEA,2025-05-05,NK-FREE-RN-GLD-10,560079.55,2521,SUPP-01,311,82,Priority,1512,2268,2025-04-30,2025-05-08,0,0,0,1764,2521,Capped,0,0
Consensus_v2,DC-Laakdal-BE,Wholesale-NA,2025-03-03,NK-ZOOM-PEGA-OGR-L,198890.89,872,SUPP-04,117,62,Express,523,784,2025-02-27,2025-03-07,0,0,0,610,872,Fixed,0,0
Consensus_v2,DC-Johannesburg-ZA,Retail-APAC,2025-01-13,NK-BLAZER-RED-9,452640.24,2091,SUPP-03,151,131,Standard,1254,1881,2025-01-10,2025-01-15,0,0,0,1463,2091,Flexible,0,0
Baseline_v1,DC-Tokyo-JP,Retail-EMEA,2025-09-22,NK-KD-GLD-10,519314.81,2937,SUPP-03,412,135,Priority,1762,2643,2025-09-18,2025-09-25,0,0,1,2055,2937,Fixed,0,0
OP_Plan_2025,DC-Tokyo-JP,Wholesale-LATAM,2025-10-13,NK-REACT-NVY-8,398766.39,2861,SUPP-03,301,155,Priority,1716,2574,2025-10-07,2025-10-14,0,0,1,2002,2861,Min-Max,0,0
Baseline_v1,DC-Laakdal-BE,DTC-eComm-EMEA,2025-08-11,NK-METCON-WHT-8,296386.64,2029,SUPP-05,153,76,Express,1217,1826,2025-08-07,2025-08-15,0,1,1,1420,2029,Fixed,0,0
Consensus_v2,DC-Memphis-TN,DTC-eComm-NA,2025-09-08,NK-REACT-GRY-13,519243.19,2404,SUPP-03,288,162,Standard,1442,2163,2025-09-02,2025-09-10,0,1,1,1682,2404,Flexible,0,0
Consensus_v2,DC-Dubai-UAE,Wholesale-APAC,2025-02-10,NK-FREE-RN-BLK-L,178321.39,944,SUPP-03,78,65,Economy,566,849,2025-02-06,2025-02-14,0,0,1,660,944,Flexible,0,0
OP_Plan_2025,DC-Portland-OR,Wholesale-MEA,2025-05-12,NK-ZOOM-PEGA-GRY-XL,105946.89,1344,SUPP-01,70,104,Economy,806,1209,2025-05-06,2025-05-15,0,0,0,940,1344,Capped,1,0
Baseline_v1,DC-Tokyo-JP,DTC-Stores-NA,2025-09-29,NK-LEBRON-WHT-13,327148.25,1988,SUPP-01,244,45,Express,1192,1789,2025-09-24,2025-09-30,1,1,0,1391,1988,Flexible,1,0
Baseline_v2,DC-Memphis-TN,Retail-EMEA,2025-09-08,NK-METCON-GRN-9,91909.66,560,SUPP-01,50,31,Priority,336,504,2025-09-03,2025-09-09,0,0,0,392,560,Min-Max,1,0
OP_Plan_2025,DC-Shanghai-CN,Retail-EMEA,2025-08-11,NK-JORDAN-RED-13,559275.26,2823,SUPP-01,250,165,Priority,1693,2540,2025-08-07,2025-08-14,1,0,0,1976,2823,Min-Max,0,0
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-APAC,2025-12-15,NK-ALPHAFLY-WHT-7,159104.01,2064,SUPP-05,169,145,Express,1238,1857,2025-12-12,2025-12-19,0,1,0,1444,2064,Fixed,1,0
OP_Plan_2025,DC-Shanghai-CN,Wholesale-NA,2025-09-15,NK-LEBRON-NVY-11,574241.72,2264,SUPP-05,337,101,Economy,1358,2037,2025-09-11,2025-09-19,0,0,1,1584,2264,Flexible,0,0
Consensus_v2,DC-Laakdal-BE,Wholesale-MEA,2025-03-31,NK-REACT-RED-L,412822.01,2691,SUPP-05,137,200,Standard,1614,2421,2025-03-28,2025-04-02,0,0,0,1883,2691,Capped,1,0
Consensus_v1,DC-Laakdal-BE,DTC-eComm-NA,2025-09-29,NK-KD-WHT-M,56992.82,319,SUPP-04,17,16,Standard,191,287,2025-09-25,2025-10-03,0,0,0,223,319,Min-Max,0,0
Baseline_v1,DC-Dubai-UAE,Wholesale-APAC,2025-03-03,NK-REACT-WHT-M,567778.38,2474,SUPP-01,143,62,Standard,1484,2226,2025-02-25,2025-03-05,0,0,0,1731,2474,Fixed,0,0
Consensus_v2,DC-Johannesburg-ZA,DTC-Stores-EMEA,2025-03-10,NK-KD-NVY-9,236049.78,2723,SUPP-01,270,56,Economy,1633,2450,2025-03-06,2025-03-11,0,1,0,1906,2723,Fixed,0,0
Consensus_v2,DC-Tokyo-JP,Wholesale-APAC,2025-02-10,NK-METCON-GRN-XL,711985.92,2416,SUPP-03,255,95,Priority,1449,2174,2025-02-07,2025-02-14,0,0,0,1691,2416,Min-Max,0,0
Consensus_v2,DC-Tokyo-JP,Retail-APAC,2025-01-20,NK-KD-BLK-M,192016.51,2708,SUPP-04,211,208,Priority,1624,2437,2025-01-14,2025-01-22,0,0,0,1895,2708,Capped,0,0
Consensus_v1,DC-Tokyo-JP,DTC-eComm-EMEA,2025-07-07,NK-FREE-RN-BLU-L,397890.54,2109,SUPP-03,170,145,Priority,1265,1898,2025-07-02,2025-07-08,0,1,0,1476,2109,Flexible,1,0
Consensus_v1,DC-Laakdal-BE,Wholesale-NA,2025-08-18,NK-REACT-GLD-XXL,410701.7,2343,SUPP-01,348,99,Express,1405,2108,2025-08-13,2025-08-20,0,0,0,1640,2343,Min-Max,1,0
OP_Plan_2025,DC-Dubai-UAE,DTC-Stores-EMEA,2025-08-04,NK-FREE-RN-BLK-M,631459.42,2262,SUPP-01,245,143,Economy,1357,2035,2025-07-29,2025-08-06,0,0,1,1583,2262,Capped,0,0
Consensus_v2,DC-Tokyo-JP,DTC-Stores-EMEA,2025-02-24,NK-VAPORFLY-GLD-7,20649.36,115,SUPP-05,11,8,Standard,69,103,2025-02-20,2025-02-28,0,1,1,80,115,Capped,0,0
Consensus_v2,DC-Dubai-UAE,Wholesale-LATAM,2025-08-25,NK-HUARACHE-BLU-M,372404.28,1928,SUPP-03,113,122,Standard,1156,1735,2025-08-20,2025-08-27,1,0,1,1349,1928,Flexible,1,0
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-LATAM,2025-02-03,NK-SPORTS-BRA-INDY-GRY-M,524169.56,2941,SUPP-03,243,170,Express,1764,2646,2025-01-31,2025-02-04,0,0,0,2058,2941,Fixed,1,0
OP_Plan_2025,DC-Dubai-UAE,Wholesale-NA,2025-07-21,NK-AIR-FORCE-GRN-S,597036.33,2920,SUPP-01,211,202,Priority,1752,2628,2025-07-17,2025-07-23,0,0,0,2043,2920,Fixed,0,0
Baseline_v1,DC-Johannesburg-ZA,Wholesale-NA,2025-11-24,NK-METCON-BLK-11,151441.36,1902,SUPP-05,261,143,Priority,1141,1711,2025-11-21,2025-11-26,0,0,0,1331,1902,Flexible,1,0
Consensus_v2,DC-Tokyo-JP,DTC-eComm-NA,2025-01-13,NK-REACT-WHT-8,155152.95,2255,SUPP-03,169,141,Economy,1353,2029,2025-01-07,2025-01-16,0,0,0,1578,2255,Flexible,0,0
OP_Plan_2025,DC-Memphis-TN,Wholesale-APAC,2025-06-02,NK-CORTEZ-BLU-11,90162.8,1016,SUPP-02,141,56,Economy,609,914,2025-05-28,2025-06-06,0,0,0,711,1016,Fixed,0,0
Consensus_v2,DC-Dubai-UAE,Retail-APAC,2025-08-25,NK-FREE-RN-RED-10,138276.17,770,SUPP-01,63,58,Economy,462,693,2025-08-22,2025-08-26,0,0,0,539,770,Capped,0,0
Baseline_v2,DC-Sao-Paulo-BR,Retail-APAC,2025-07-14,NK-VAPORFLY-PPL-9,168865.64,2756,SUPP-03,406,136,Standard,1653,2480,2025-07-09,2025-07-18,0,0,0,1929,2756,Min-Max,0,0
Consensus_v1,DC-Laakdal-BE,Wholesale-NA,2025-03-24,NK-SHORT-DRI-BLK-L,80140.94,388,SUPP-02,30,21,Priority,232,349,2025-03-21,2025-03-26,0,0,1,271,388,Fixed,0,0
OP_Plan_2025,DC-Dubai-UAE,DTC-eComm-NA,2025-09-15,NK-ZOOM-PEGA-GRN-9,5016.4,57,SUPP-05,5,3,Priority,34,51,2025-09-09,2025-09-16,1,0,0,39,57,Fixed,0,0
Consensus_v1,DC-Dubai-UAE,Wholesale-MEA,2025-07-21,NK-METCON-RED-12,115899.24,462,SUPP-04,32,13,Standard,277,415,2025-07-18,2025-07-25,1,0,1,323,462,Min-Max,0,0
OP_Plan_2025,DC-Johannesburg-ZA,Retail-APAC,2025-09-22,NK-DUNK-BLU-10,271420.5,1642,SUPP-03,176,67,Express,985,1477,2025-09-18,2025-09-25,1,0,0,1149,1642,Capped,0,0
Baseline_v1,DC-Dubai-UAE,Wholesale-APAC,2025-08-18,NK-CAP-LEGACY-RED,445569.04,1623,SUPP-02,209,47,Express,973,1460,2025-08-14,2025-08-19,0,1,0,1136,1623,Fixed,0,0
Consensus_v1,DC-Sao-Paulo-BR,Retail-EMEA,2025-06-16,NK-JORDAN-NVY-XL,330585.59,1831,SUPP-04,190,90,Priority,1098,1647,2025-06-12,2025-06-20,0,0,1,1281,1831,Flexible,1,0
Baseline_v1,DC-Sao-Paulo-BR,Retail-APAC,2025-02-24,NK-METCON-GLD-XL,167704.94,1299,SUPP-03,144,97,Priority,779,1169,2025-02-21,2025-02-25,0,1,0,909,1299,Fixed,0,0
Baseline_v1,DC-Dubai-UAE,DTC-Stores-NA,2025-07-14,NK-DUNK-GLD-S,88328.51,1154,SUPP-02,66,30,Express,692,1038,2025-07-08,2025-07-18,0,1,0,807,1154,Flexible,0,0
Consensus_v2,DC-Portland-OR,Wholesale-MEA,2025-05-26,NK-FREE-RN-BLU-12,278708.06,1168,SUPP-02,82,78,Economy,700,1051,2025-05-21,2025-05-27,0,1,0,817,1168,Min-Max,0,1
Baseline_v2,DC-Shanghai-CN,DTC-eComm-NA,2025-06-16,NK-VAPORFLY-NVY-7,174914.49,1754,SUPP-01,93,67,Economy,1052,1578,2025-06-10,2025-06-18,1,0,0,1227,1754,Flexible,0,1
OP_Plan_2025,DC-Portland-OR,Retail-APAC,2025-12-08,NK-BLAZER-OGR-12,125381.08,933,SUPP-02,83,42,Standard,559,839,2025-12-02,2025-12-10,0,0,0,653,933,Capped,0,0
Baseline_v2,DC-Shanghai-CN,Wholesale-NA,2025-12-22,NK-TEE-PRO-NVY-S,52557.01,507,SUPP-04,69,38,Priority,304,456,2025-12-18,2025-12-24,0,0,0,354,507,Min-Max,0,0
Consensus_v1,DC-Johannesburg-ZA,Wholesale-APAC,2025-02-24,NK-ZOOM-PEGA-GRN-7,89956.81,357,SUPP-05,24,21,Express,214,321,2025-02-21,2025-02-25,0,0,1,249,357,Min-Max,0,0
Consensus_v2,DC-Laakdal-BE,Wholesale-MEA,2025-05-26,NK-REACT-GRN-S,13253.7,128,SUPP-02,13,5,Economy,76,115,2025-05-20,2025-05-30,0,0,0,89,128,Flexible,1,0
Baseline_v1,DC-Memphis-TN,Retail-EMEA,2025-11-03,NK-CORTEZ-WHT-12,204842.27,697,SUPP-01,89,18,Priority,418,627,2025-10-29,2025-11-07,0,0,0,487,697,Flexible,1,1
Baseline_v2,DC-Portland-OR,DTC-Stores-NA,2025-07-21,NK-ALPHAFLY-BLK-11,69696.69,556,SUPP-02,28,41,Priority,333,500,2025-07-18,2025-07-24,0,0,0,389,556,Fixed,0,0
Baseline_v2,DC-Dubai-UAE,DTC-eComm-NA,2025-08-25,NK-BLAZER-RED-11,399907.63,1821,SUPP-03,122,136,Standard,1092,1638,2025-08-21,2025-08-27,0,0,0,1274,1821,Fixed,1,0
OP_Plan_2025,DC-Johannesburg-ZA,Wholesale-NA,2025-09-08,NK-LEBRON-GRN-XL,285072.3,2171,SUPP-04,231,105,Economy,1302,1953,2025-09-03,2025-09-12,0,0,0,1519,2171,Flexible,1,0
Baseline_v2,DC-Portland-OR,Wholesale-LATAM,2025-03-03,NK-REACT-GLD-9,198896.24,2324,SUPP-03,133,148,Express,1394,2091,2025-02-27,2025-03-06,0,0,0,1626,2324,Flexible,0,0
OP_Plan_2025,DC-Portland-OR,Wholesale-LATAM,2025-12-08,NK-VAPORFLY-NVY-11,130489.81,453,SUPP-01,42,14,Express,271,407,2025-12-03,2025-12-12,0,0,1,317,453,Fixed,0,0
Baseline_v1,DC-Laakdal-BE,Retail-APAC,2025-04-21,NK-VAPORFLY-GRY-M,287176.53,2779,SUPP-03,296,208,Economy,1667,2501,2025-04-18,2025-04-24,0,1,0,1945,2779,Min-Max,0,0
Baseline_v2,DC-Sao-Paulo-BR,Wholesale-LATAM,2025-04-28,NK-VAPORFLY-WHT-9,290186.28,1967,SUPP-01,208,96,Priority,1180,1770,2025-04-22,2025-05-01,0,0,0,1376,1967,Capped,0,0
Consensus_v1,DC-Laakdal-BE,Wholesale-LATAM,2025-01-13,NK-HUARACHE-GLD-7,32527.67,121,SUPP-04,6,8,Standard,72,108,2025-01-08,2025-01-17,0,0,0,84,121,Fixed,0,0
Baseline_v2,DC-Shanghai-CN,DTC-eComm-NA,2025-03-10,NK-VAPORFLY-BLU-13,45033.25,320,SUPP-01,32,20,Priority,192,288,2025-03-07,2025-03-12,0,1,0,224,320,Fixed,0,0
OP_Plan_2025,DC-Memphis-TN,DTC-Stores-EMEA,2025-09-15,NK-VAPORFLY-GRN-13,192975.52,2369,SUPP-04,217,172,Priority,1421,2132,2025-09-09,2025-09-17,0,1,0,1658,2369,Fixed,1,0
Baseline_v1,DC-Portland-OR,Retail-EMEA,2025-10-27,NK-ZOOM-PEGA-WHT-10,64362.51,570,SUPP-02,39,38,Standard,342,513,2025-10-23,2025-10-28,0,0,0,399,570,Flexible,1,0
Baseline_v1,DC-Johannesburg-ZA,Retail-EMEA,2025-09-01,NK-ALPHAFLY-RED-12,80965.95,712,SUPP-04,73,39,Standard,427,640,2025-08-27,2025-09-02,1,1,1,498,712,Fixed,0,1
OP_Plan_2025,DC-Shanghai-CN,DTC-Stores-NA,2025-03-17,NK-METCON-RED-M,48356.8,306,SUPP-01,26,10,Express,183,275,2025-03-12,2025-03-19,0,0,0,214,306,Flexible,0,0
Consensus_v1,DC-Johannesburg-ZA,DTC-Stores-EMEA,2025-10-06,NK-CORTEZ-GRY-12,213181.1,1718,SUPP-03,236,116,Standard,1030,1546,2025-10-01,2025-10-10,0,0,0,1202,1718,Flexible,0,0
Baseline_v2,DC-Shanghai-CN,DTC-eComm-NA,2025-11-10,NK-AIR-MAX-PPL-7,175657.71,2621,SUPP-05,347,72,Standard,1572,2358,2025-11-06,2025-11-13,0,0,0,1834,2621,Min-Max,1,0
Baseline_v1,DC-Johannesburg-ZA,DTC-eComm-NA,2025-08-04,NK-VAPORFLY-NVY-12,72187.93,1161,SUPP-04,153,32,Priority,696,1044,2025-07-31,2025-08-05,0,1,0,812,1161,Capped,0,0
Baseline_v2,DC-Memphis-TN,Wholesale-APAC,2025-07-07,NK-LEBRON-WHT-XXL,132319.56,540,SUPP-03,65,26,Priority,324,486,2025-07-04,2025-07-08,0,0,0,378,540,Flexible,0,0
OP_Plan_2025,DC-Tokyo-JP,Wholesale-APAC,2025-03-17,NK-REACT-GRY-13,344889.38,2065,SUPP-02,159,164,Economy,1239,1858,2025-03-13,2025-03-19,0,0,0,1445,2065,Fixed,1,0
Baseline_v1,DC-Memphis-TN,DTC-eComm-EMEA,2025-07-21,NK-CORTEZ-NVY-12,455361,2833,SUPP-02,322,124,Standard,1699,2549,2025-07-17,2025-07-25,0,1,0,1983,2833,Flexible,1,0
Consensus_v1,DC-Tokyo-JP,DTC-Stores-NA,2025-02-24,NK-REACT-GRN-10,56513.03,519,SUPP-04,30,15,Express,311,467,2025-02-20,2025-02-27,0,1,0,363,519,Flexible,0,0
Consensus_v1,DC-Johannesburg-ZA,Wholesale-NA,2025-05-19,NK-JORDAN-NVY-13,142618.11,1319,SUPP-05,130,31,Express,791,1187,2025-05-14,2025-05-21,0,0,1,923,1319,Flexible,0,0
Consensus_v2,DC-Shanghai-CN,Wholesale-NA,2025-08-18,NK-REACT-GRN-XXL,794726.72,2860,SUPP-02,350,185,Priority,1716,2574,2025-08-15,2025-08-19,0,0,1,2001,2860,Flexible,0,0
Consensus_v2,DC-Portland-OR,Retail-APAC,2025-06-02,NK-LEBRON-GLD-XXL,294591.93,1000,SUPP-03,70,61,Economy,600,900,2025-05-27,2025-06-03,0,1,0,700,1000,Capped,0,1
Consensus_v2,DC-Dubai-UAE,Wholesale-MEA,2025-02-24,NK-LEBRON-NVY-10,544206.18,2156,SUPP-02,180,148,Economy,1293,1940,2025-02-21,2025-02-28,0,0,0,1509,2156,Min-Max,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,Retail-EMEA,2025-03-24,NK-HUARACHE-WHT-12,139998.59,520,SUPP-02,37,40,Express,312,468,2025-03-20,2025-03-25,0,0,1,364,520,Fixed,0,0
Baseline_v2,DC-Tokyo-JP,Retail-APAC,2025-12-22,NK-CORTEZ-BLK-S,158985.58,2056,SUPP-05,109,72,Priority,1233,1850,2025-12-18,2025-12-26,0,1,0,1439,2056,Flexible,1,0
Consensus_v1,DC-Laakdal-BE,Wholesale-MEA,2025-09-08,NK-JORDAN-GLD-XL,21069.62,136,SUPP-05,15,7,Priority,81,122,2025-09-02,2025-09-11,0,0,1,95,136,Fixed,0,0
Baseline_v1,DC-Dubai-UAE,DTC-eComm-EMEA,2025-12-01,NK-LEBRON-OGR-12,386552.75,1825,SUPP-05,159,92,Economy,1095,1642,2025-11-27,2025-12-02,0,0,0,1277,1825,Min-Max,0,0
Consensus_v1,DC-Memphis-TN,Retail-EMEA,2025-07-14,NK-ALPHAFLY-PPL-M,176487.22,811,SUPP-02,66,53,Standard,486,729,2025-07-11,2025-07-18,0,1,0,567,811,Capped,0,1
Consensus_v2,DC-Sao-Paulo-BR,DTC-eComm-EMEA,2025-05-19,NK-REACT-WHT-9,240029.79,1169,SUPP-03,100,60,Standard,701,1052,2025-05-13,2025-05-22,0,1,0,818,1169,Fixed,1,0
OP_Plan_2025,DC-Memphis-TN,Retail-APAC,2025-09-01,NK-JORDAN-RED-11,392951.8,1383,SUPP-03,112,69,Express,829,1244,2025-08-29,2025-09-02,1,0,1,968,1383,Min-Max,0,0
Baseline_v2,DC-Tokyo-JP,Wholesale-NA,2025-06-09,NK-HUARACHE-WHT-XL,188622.38,2017,SUPP-05,106,77,Priority,1210,1815,2025-06-04,2025-06-10,0,1,0,1411,2017,Fixed,1,1
Baseline_v1,DC-Dubai-UAE,Wholesale-APAC,2025-03-10,NK-JACKET-WIND-BLK-L,11978.13,101,SUPP-01,13,7,Economy,60,90,2025-03-04,2025-03-11,1,1,0,70,101,Fixed,0,0
Baseline_v1,DC-Laakdal-BE,Wholesale-APAC,2025-12-15,NK-JORDAN-OGR-7,250059.98,1834,SUPP-05,250,145,Express,1100,1650,2025-12-09,2025-12-16,0,0,1,1283,1834,Flexible,1,0
OP_Plan_2025,DC-Laakdal-BE,DTC-Stores-EMEA,2025-11-10,NK-HUARACHE-BLK-L,218749.13,2462,SUPP-01,257,50,Priority,1477,2215,2025-11-06,2025-11-12,0,0,0,1723,2462,Min-Max,0,0
Baseline_v2,DC-Portland-OR,DTC-Stores-NA,2025-01-13,NK-REACT-RED-9,214177.55,1417,SUPP-05,193,72,Economy,850,1275,2025-01-09,2025-01-14,0,0,0,991,1417,Flexible,0,0
Consensus_v1,DC-Laakdal-BE,Wholesale-APAC,2025-10-27,NK-ZOOM-PEGA-BLK-L,11019.63,103,SUPP-05,5,6,Express,61,92,2025-10-21,2025-10-28,0,0,0,72,103,Fixed,0,0
Baseline_v2,DC-Portland-OR,Wholesale-LATAM,2025-11-24,NK-ZOOM-PEGA-WHT-8,323066.38,1620,SUPP-04,95,102,Express,972,1458,2025-11-20,2025-11-28,0,0,0,1134,1620,Fixed,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,DTC-eComm-EMEA,2025-09-08,NK-AIR-MAX-BLK-XXL,105317.94,1302,SUPP-05,171,55,Express,781,1171,2025-09-03,2025-09-09,0,1,0,911,1302,Capped,0,0
Baseline_v2,DC-Portland-OR,DTC-eComm-NA,2025-02-24,NK-DUNK-PPL-L,449329.11,2321,SUPP-04,175,88,Express,1392,2088,2025-02-19,2025-02-28,0,0,0,1624,2321,Min-Max,1,0
OP_Plan_2025,DC-Tokyo-JP,DTC-Stores-EMEA,2025-05-26,NK-JORDAN-WHT-12,21803.52,332,SUPP-01,37,18,Express,199,298,2025-05-21,2025-05-27,0,0,0,232,332,Flexible,0,0
OP_Plan_2025,DC-Dubai-UAE,Wholesale-APAC,2025-12-08,NK-VAPORFLY-GLD-S,13618.71,96,SUPP-05,12,5,Standard,57,86,2025-12-04,2025-12-12,0,0,0,67,96,Flexible,0,0
Consensus_v1,DC-Dubai-UAE,Wholesale-MEA,2025-12-08,NK-SHORT-DRI-RED-L,552423.68,2503,SUPP-02,142,146,Economy,1501,2252,2025-12-04,2025-12-11,0,0,1,1752,2503,Min-Max,0,0
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-NA,2025-11-03,NK-ZOOM-PEGA-BLK-13,90438.73,311,SUPP-04,35,20,Priority,186,279,2025-10-31,2025-11-05,0,1,0,217,311,Capped,1,0
Baseline_v1,DC-Tokyo-JP,DTC-eComm-EMEA,2025-05-19,NK-ZOOM-PEGA-GRN-7,527817.76,2784,SUPP-02,373,142,Standard,1670,2505,2025-05-14,2025-05-20,0,0,0,1948,2784,Flexible,0,0
Consensus_v1,DC-Sao-Paulo-BR,DTC-eComm-EMEA,2025-03-03,NK-ZOOM-PEGA-PPL-11,400780.64,1553,SUPP-05,121,118,Priority,931,1397,2025-02-25,2025-03-04,0,1,0,1087,1553,Flexible,0,0
Baseline_v2,DC-Laakdal-BE,DTC-eComm-NA,2025-10-20,NK-ZOOM-PEGA-NVY-XL,661431.67,2610,SUPP-02,336,99,Express,1566,2349,2025-10-17,2025-10-22,1,0,1,1826,2610,Fixed,0,0
Baseline_v1,DC-Tokyo-JP,DTC-Stores-NA,2025-08-04,NK-ZOOM-PEGA-GRN-12,305374.05,1486,SUPP-05,187,45,Express,891,1337,2025-07-30,2025-08-06,0,0,0,1040,1486,Capped,1,0
Baseline_v2,DC-Shanghai-CN,Wholesale-LATAM,2025-03-31,NK-CORTEZ-GRN-10,759985.87,2812,SUPP-03,218,199,Standard,1687,2530,2025-03-28,2025-04-01,0,0,0,1968,2812,Min-Max,1,0
Consensus_v2,DC-Portland-OR,Wholesale-APAC,2025-04-14,NK-BLAZER-NVY-10,346456.92,2951,SUPP-01,189,80,Standard,1770,2655,2025-04-10,2025-04-15,0,0,0,2065,2951,Capped,1,0
OP_Plan_2025,DC-Tokyo-JP,DTC-eComm-EMEA,2025-09-15,NK-DUNK-NVY-10,447582.26,2665,SUPP-02,185,112,Express,1599,2398,2025-09-11,2025-09-19,0,0,0,1865,2665,Flexible,0,0
Consensus_v2,DC-Portland-OR,Retail-EMEA,2025-02-03,NK-DUNK-BLK-7,43029.75,684,SUPP-04,50,53,Economy,410,615,2025-01-28,2025-02-07,0,1,0,478,684,Flexible,0,0
OP_Plan_2025,DC-Portland-OR,DTC-Stores-EMEA,2025-12-01,NK-VAPORFLY-BLU-L,387693.68,2225,SUPP-01,194,97,Priority,1335,2002,2025-11-27,2025-12-05,0,0,0,1557,2225,Fixed,0,1
Consensus_v2,DC-Sao-Paulo-BR,Retail-APAC,2025-10-06,NK-SOCK-PERF-3PK-NVY,300441.91,1411,SUPP-03,163,104,Standard,846,1269,2025-10-01,2025-10-09,0,0,0,987,1411,Fixed,0,0
Consensus_v2,DC-Laakdal-BE,Wholesale-APAC,2025-01-06,NK-ZOOM-PEGA-NVY-11,20200.62,262,SUPP-03,13,20,Economy,157,235,2025-01-01,2025-01-08,0,0,0,183,262,Fixed,0,0
Baseline_v2,DC-Sao-Paulo-BR,DTC-eComm-NA,2025-03-10,NK-VAPORFLY-BLK-12,8849.05,111,SUPP-01,16,4,Priority,66,99,2025-03-04,2025-03-13,0,1,0,77,111,Flexible,0,0
Consensus_v2,DC-Memphis-TN,Wholesale-MEA,2025-03-10,NK-REACT-OGR-13,313447.16,2406,SUPP-01,356,135,Priority,1443,2165,2025-03-05,2025-03-13,0,0,0,1684,2406,Flexible,0,0
