Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Partial Week],Item.[Item],Actual 12 Weeks,Actual 4 Weeks,Actual 8 Weeks,Actual External,Actual Final,Published Final Fcst Lag1 12weeks,Published Final Fcst Lag1 4weeks,Published Final Fcst Lag1 8weeks,Published Final Fcst Lag1 External,Published Final Fcst Lag1 Final
Consensus_v2,DC-Sao-Paulo-BR,Wholesale-MEA,2024-W41,NK-FREE-RN-OGR-11,3930,1408,2818,207,4056,4953,3988,4614,222,5036
Consensus_v1,DC-Memphis-TN,Wholesale-MEA,2024-W39,NK-HUARACHE-NVY-10,301,101,227,15,316,251,299,334,16,334
Baseline_v2,DC-Sao-Paulo-BR,Retail-EMEA,2024-W42,NK-HUARACHE-GLD-11,1189,353,747,49,1227,1400,1253,1186,52,1440
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-LATAM,2024-W20,NK-LEGGING-EPIC-NVY-L,202,69,135,13,204,213,225,225,15,250
OP_Plan_2025,DC-Tokyo-JP,DTC-Stores-NA,2024-W43,NK-FREE-RN-GLD-10,3428,1033,2419,262,3688,2512,3954,3735,258,3497
Baseline_v1,DC-Portland-OR,Wholesale-MEA,2024-W03,NK-TEE-PRO-BLK-XL,4865,1679,3302,389,4913,4698,5037,5132,347,4188
OP_Plan_2025,DC-Memphis-TN,DTC-Stores-EMEA,2024-W03,NK-ALPHAFLY-RED-10,4845,1657,3448,147,4848,5491,4970,5033,136,5086
Consensus_v2,DC-Johannesburg-ZA,DTC-Stores-NA,2024-W13,NK-DUNK-RED-12,723,251,524,50,734,659,775,635,55,714
OP_Plan_2025,DC-Laakdal-BE,DTC-Stores-EMEA,2024-W42,NK-ZOOM-PEGA-NVY-13,397,137,265,21,401,451,424,477,19,347
Baseline_v2,DC-Johannesburg-ZA,Wholesale-NA,2024-W41,NK-BACKPACK-BRSLA-BLK,3093,1041,1938,226,3131,3374,3001,2720,256,3576
Consensus_v2,DC-Memphis-TN,Wholesale-APAC,2024-W27,NK-HOODIE-CLUB-BLK-M,654,204,400,18,667,593,619,704,20,725
Consensus_v1,DC-Laakdal-BE,Wholesale-MEA,2024-W23,NK-DUNK-WHT-13,3336,1016,2391,204,3570,3832,3450,4519,227,2860
OP_Plan_2025,DC-Sao-Paulo-BR,DTC-Stores-NA,2024-W20,NK-REACT-GLD-7,4568,1544,3261,337,4985,5262,5139,4525,398,4460
Consensus_v2,DC-Sao-Paulo-BR,Retail-EMEA,2024-W29,NK-VAPORFLY-BLU-7,4046,1326,2803,264,4481,4214,4616,4887,296,5203
Baseline_v2,DC-Johannesburg-ZA,Retail-APAC,2024-W11,NK-ALPHAFLY-WHT-10,1415,529,1103,73,1541,1528,1433,1575,66,1629
Baseline_v1,DC-Dubai-UAE,DTC-eComm-EMEA,2024-W22,NK-ZOOM-PEGA-BLK-10,2188,654,1418,113,2330,2489,2375,2682,115,1994
Baseline_v2,DC-Memphis-TN,Wholesale-LATAM,2024-W44,NK-CORTEZ-BLK-11,3303,1130,2129,180,3542,3118,3268,2813,188,3993
Baseline_v2,DC-Dubai-UAE,Wholesale-MEA,2024-W03,NK-METCON-GLD-7,3223,1004,2536,186,3561,3605,3913,4089,163,4162
Baseline_v2,DC-Dubai-UAE,DTC-eComm-NA,2024-W19,NK-AIR-MAX-GLD-13,2427,887,1633,93,2679,2301,2650,2687,104,2894
Consensus_v2,DC-Shanghai-CN,Wholesale-APAC,2024-W24,NK-JORDAN-OGR-10,1569,549,1139,76,1728,1653,1652,1686,75,2007
Consensus_v1,DC-Memphis-TN,Retail-APAC,2024-W36,NK-HUARACHE-PPL-9,2784,911,2016,212,2935,3470,3206,2822,226,3226
Baseline_v1,DC-Portland-OR,DTC-eComm-NA,2024-W35,NK-AIR-MAX-PPL-12,2900,988,1965,136,3049,3339,2828,2649,147,2749
Baseline_v1,DC-Portland-OR,DTC-eComm-EMEA,2024-W20,NK-REACT-BLU-11,1687,565,1042,79,1693,1717,1565,1545,79,1610
Baseline_v1,DC-Sao-Paulo-BR,Retail-EMEA,2024-W06,NK-HUARACHE-PPL-13,3000,935,2036,191,3067,2716,3207,3226,170,2690
Consensus_v2,DC-Dubai-UAE,Wholesale-APAC,2024-W23,NK-VAPORFLY-GLD-7,4226,1412,3089,135,4675,5562,5441,4320,136,4811
Baseline_v2,DC-Memphis-TN,Wholesale-NA,2024-W26,NK-REACT-WHT-8,729,217,534,22,750,916,736,647,23,883
Baseline_v1,DC-Portland-OR,DTC-Stores-EMEA,2024-W13,NK-DUNK-RED-11,2805,816,2060,175,2895,2451,2834,2930,209,2675
Baseline_v2,DC-Sao-Paulo-BR,DTC-Stores-NA,2024-W19,NK-ZOOM-PEGA-OGR-7,629,206,438,29,634,576,722,647,31,622
OP_Plan_2025,DC-Memphis-TN,DTC-Stores-EMEA,2024-W12,NK-JORDAN-BLU-9,2632,896,1854,58,2787,2886,2799,3111,68,3334
Consensus_v1,DC-Laakdal-BE,Wholesale-APAC,2024-W21,NK-DUNK-GRN-9,1973,658,1363,135,2054,1519,2268,2274,145,2328
Consensus_v1,DC-Sao-Paulo-BR,Wholesale-MEA,2024-W39,NK-FREE-RN-RED-7,1686,523,1199,67,1822,2073,1843,1838,63,1730
Consensus_v2,DC-Portland-OR,Wholesale-MEA,2024-W09,NK-HUARACHE-BLU-11,922,301,697,75,1004,950,967,1120,63,1079
OP_Plan_2025,DC-Sao-Paulo-BR,Wholesale-NA,2024-W35,NK-AIR-FORCE-PPL-13,934,291,677,51,956,1141,909,1111,57,854
Consensus_v1,DC-Memphis-TN,DTC-eComm-EMEA,2024-W39,NK-JORDAN-OGR-8,3904,1277,2645,253,4327,4657,4526,3954,302,3986
Baseline_v1,DC-Shanghai-CN,DTC-eComm-NA,2024-W05,NK-AIR-FORCE-OGR-8,4820,1432,3036,271,4957,4031,4624,4675,251,4573
Consensus_v2,DC-Memphis-TN,Wholesale-APAC,2024-W05,NK-HOODIE-CLUB-NVY-M,1201,395,878,64,1245,1404,1205,1448,70,1195
Consensus_v2,DC-Portland-OR,DTC-Stores-EMEA,2024-W30,NK-METCON-BLK-10,3578,1108,2465,263,3798,3301,3419,4517,313,3363
Baseline_v1,DC-Laakdal-BE,Retail-EMEA,2024-W52,NK-CORTEZ-PPL-10,547,165,385,31,555,465,548,450,30,522
Baseline_v1,DC-Sao-Paulo-BR,DTC-Stores-NA,2024-W35,NK-REACT-PPL-11,853,298,596,38,892,1007,901,945,41,771
Baseline_v1,DC-Tokyo-JP,DTC-Stores-NA,2024-W34,NK-DUNK-GRY-9,816,252,609,64,853,787,881,833,72,866
Consensus_v1,DC-Sao-Paulo-BR,Retail-EMEA,2024-W05,NK-DUNK-PPL-12,215,65,161,17,226,190,223,230,15,245
Baseline_v1,DC-Tokyo-JP,Wholesale-LATAM,2024-W52,NK-FREE-RN-BLU-11,1093,356,785,43,1137,931,1106,1048,46,1231
OP_Plan_2025,DC-Dubai-UAE,DTC-eComm-EMEA,2024-W15,NK-LEBRON-GLD-11,3244,1124,2275,146,3313,2717,3433,3416,173,2959
OP_Plan_2025,DC-Memphis-TN,Wholesale-APAC,2024-W34,NK-LEBRON-BLU-9,3524,1107,2540,79,3825,3537,3886,4606,82,4018
Baseline_v2,DC-Johannesburg-ZA,Retail-APAC,2024-W21,NK-DUNK-BLU-11,3488,1163,2395,176,3713,3597,4144,4568,176,3639
Consensus_v1,DC-Johannesburg-ZA,Retail-EMEA,2024-W24,NK-AIR-FORCE-WHT-7,2331,775,1652,185,2527,2237,2649,2439,159,2856
Consensus_v2,DC-Portland-OR,Retail-APAC,2024-W40,NK-KD-WHT-10,4449,1587,3074,196,4786,4033,5222,4129,219,4237
Consensus_v2,DC-Memphis-TN,Wholesale-MEA,2024-W15,NK-VAPORFLY-BLK-8,4518,1595,2935,174,4882,4088,4784,5276,176,4336
Baseline_v1,DC-Shanghai-CN,DTC-Stores-EMEA,2024-W47,NK-METCON-BLK-10,4383,1374,2995,215,4647,4421,5051,4060,231,4591
Consensus_v1,DC-Memphis-TN,Retail-EMEA,2024-W23,NK-JORDAN-NVY-9,3695,1186,2663,252,3799,4391,3871,4248,228,3507
Consensus_v2,DC-Tokyo-JP,Retail-EMEA,2024-W01,NK-VAPORFLY-WHT-7,1731,548,1227,100,1777,2162,1611,1591,90,1924
Baseline_v1,DC-Memphis-TN,DTC-Stores-NA,2024-W20,NK-AIR-MAX-BLK-9,977,358,712,67,1050,1105,1149,1124,76,1243
Consensus_v2,DC-Shanghai-CN,DTC-Stores-EMEA,2024-W45,NK-ZOOM-PEGA-PPL-9,3615,1289,2497,104,3805,3291,3848,4101,88,3257
Consensus_v1,DC-Dubai-UAE,Retail-APAC,2024-W45,NK-CORTEZ-NVY-13,2013,706,1369,54,2071,2287,2041,1794,46,2028
OP_Plan_2025,DC-Portland-OR,Wholesale-NA,2024-W06,NK-FREE-RN-BLK-10,3754,1300,2740,183,3945,3530,3678,3693,202,4937
Baseline_v1,DC-Laakdal-BE,Retail-EMEA,2024-W19,NK-TEE-PRO-BLK-M,3885,1138,2563,169,3949,3239,4119,3525,145,4399
Consensus_v2,DC-Shanghai-CN,DTC-Stores-EMEA,2024-W31,NK-VAPORFLY-OGR-7,2025,752,1545,150,2205,2535,2227,1829,150,2508
Consensus_v1,DC-Shanghai-CN,DTC-eComm-NA,2024-W43,NK-JORDAN-RED-10,4443,1363,2904,170,4787,5532,4835,4312,190,4171
OP_Plan_2025,DC-Laakdal-BE,Wholesale-LATAM,2024-W26,NK-REACT-GRY-9,1518,549,1003,105,1644,2095,1632,1877,112,1777
Consensus_v1,DC-Portland-OR,Wholesale-LATAM,2024-W22,NK-REACT-GRY-13,1751,529,1253,54,1757,1998,1663,1635,64,1613
Consensus_v2,DC-Laakdal-BE,Wholesale-MEA,2024-W35,NK-ALPHAFLY-GRN-7,2620,789,1809,82,2763,2798,3161,2979,85,2413
Baseline_v2,DC-Portland-OR,DTC-eComm-NA,2024-W25,NK-METCON-RED-10,3621,1162,2493,157,3952,5227,4242,3882,146,4213
Baseline_v1,DC-Sao-Paulo-BR,Retail-APAC,2024-W18,NK-ALPHAFLY-RED-12,2644,862,1678,189,2739,2703,2804,3123,213,2926
Consensus_v1,DC-Johannesburg-ZA,DTC-Stores-EMEA,2024-W12,NK-LEBRON-GLD-12,2204,731,1421,95,2293,1687,2445,2392,105,2556
Baseline_v2,DC-Dubai-UAE,DTC-Stores-NA,2024-W35,NK-LEBRON-NVY-9,1519,581,1096,105,1666,1443,1723,2029,92,1498
Consensus_v2,DC-Johannesburg-ZA,Wholesale-MEA,2024-W33,NK-KD-GRY-10,1594,526,1242,114,1750,1691,2026,1835,132,1756
Consensus_v1,DC-Johannesburg-ZA,Retail-APAC,2024-W28,NK-VAPORFLY-PPL-8,1983,741,1486,122,2158,2493,2190,2497,105,2291
Consensus_v2,DC-Portland-OR,Wholesale-LATAM,2024-W09,NK-REACT-RED-7,940,324,599,35,956,722,1021,954,33,1081
Baseline_v2,DC-Dubai-UAE,Wholesale-LATAM,2024-W22,NK-JACKET-WIND-GRY-XL,4053,1466,3174,135,4504,3603,4441,4101,152,4323
Baseline_v1,DC-Dubai-UAE,DTC-Stores-EMEA,2024-W33,NK-FREE-RN-BLU-11,4787,1643,3327,383,4866,5291,5110,5231,354,4089
Baseline_v1,DC-Johannesburg-ZA,Retail-EMEA,2024-W11,NK-JORDAN-WHT-8,1465,507,1001,101,1576,1845,1529,1852,92,1334
Consensus_v2,DC-Dubai-UAE,DTC-Stores-EMEA,2024-W19,NK-AIR-MAX-WHT-8,4219,1358,2607,240,4292,5567,3873,5131,252,4390
Baseline_v1,DC-Portland-OR,Retail-APAC,2024-W23,NK-JORDAN-GLD-11,856,264,647,61,907,1175,966,774,57,854
Baseline_v1,DC-Dubai-UAE,Wholesale-NA,2024-W08,NK-KD-BLU-10,1217,410,883,38,1346,1190,1376,1296,36,1244
OP_Plan_2025,DC-Johannesburg-ZA,Retail-EMEA,2024-W11,NK-TEE-PRO-BLK-L,3997,1270,2776,140,4235,4162,4039,4226,145,4942
OP_Plan_2025,DC-Sao-Paulo-BR,Wholesale-LATAM,2024-W49,NK-METCON-GLD-8,1360,444,940,107,1446,1956,1552,1461,91,1473
Consensus_v1,DC-Laakdal-BE,Wholesale-MEA,2024-W14,NK-VAPORFLY-NVY-7,1311,443,944,34,1357,1339,1417,1560,33,1484
Baseline_v2,DC-Tokyo-JP,DTC-Stores-NA,2024-W49,NK-METCON-GLD-7,715,224,482,45,780,973,836,951,46,747
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-LATAM,2024-W40,NK-ZOOM-PEGA-GRY-8,1753,589,1208,109,1781,2086,1822,1630,123,2103
Consensus_v2,DC-Laakdal-BE,Wholesale-NA,2024-W49,NK-ZOOM-PEGA-BLU-12,2865,903,1984,180,2952,3550,2839,2785,162,2587
Consensus_v1,DC-Memphis-TN,Retail-EMEA,2024-W50,NK-REACT-GRY-11,3064,937,1921,144,3068,3496,3135,2897,141,2477
OP_Plan_2025,DC-Johannesburg-ZA,DTC-eComm-EMEA,2024-W04,NK-METCON-PPL-7,3766,1187,2415,102,3805,5026,4157,4480,96,4464
Consensus_v1,DC-Portland-OR,Retail-APAC,2024-W35,NK-FREE-RN-RED-7,834,272,568,59,855,636,845,763,55,1022
Consensus_v1,DC-Tokyo-JP,DTC-eComm-NA,2024-W11,NK-SPORTS-BRA-INDY-WHT-XL,3166,995,2053,230,3168,2714,3332,3230,233,3191
Consensus_v2,DC-Dubai-UAE,Wholesale-NA,2024-W24,NK-METCON-GRY-9,259,95,190,17,286,267,277,361,18,286
Baseline_v1,DC-Portland-OR,Wholesale-NA,2024-W33,NK-LEBRON-OGR-12,1909,629,1314,143,1994,2343,2207,2357,131,1856
Baseline_v2,DC-Portland-OR,Retail-APAC,2024-W35,NK-VAPORFLY-BLU-8,386,138,265,23,406,485,429,425,20,381
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-NA,2024-W36,NK-TEE-PRO-BLK-M,2474,902,1933,214,2690,2676,2389,2260,182,3273
Baseline_v2,DC-Johannesburg-ZA,Wholesale-NA,2024-W34,NK-AIR-MAX-GLD-10,2819,888,2045,138,3106,4044,2976,2826,120,3687
OP_Plan_2025,DC-Laakdal-BE,DTC-Stores-NA,2024-W19,NK-LEBRON-RED-10,421,140,290,16,457,421,513,483,14,517
Consensus_v1,DC-Sao-Paulo-BR,Retail-APAC,2024-W18,NK-KD-PPL-12,964,336,718,70,1020,848,1066,1049,66,1022
Baseline_v1,DC-Dubai-UAE,DTC-Stores-NA,2024-W44,NK-FREE-RN-GRN-7,2439,759,1560,58,2533,1829,2663,2158,63,2312
Baseline_v2,DC-Tokyo-JP,Wholesale-NA,2024-W27,NK-KD-RED-10,461,174,353,27,505,481,556,625,31,525
Consensus_v2,DC-Johannesburg-ZA,DTC-Stores-EMEA,2024-W35,NK-LEBRON-PPL-10,3368,988,2150,105,3411,3043,3202,3949,112,3931
Consensus_v2,DC-Memphis-TN,Retail-EMEA,2024-W28,NK-ALPHAFLY-OGR-11,1800,542,1323,132,1912,2229,2029,2057,143,1985
Baseline_v2,DC-Dubai-UAE,Wholesale-NA,2024-W36,NK-REACT-OGR-11,2998,1002,2234,239,3259,3187,3143,2634,273,2740
Baseline_v2,DC-Shanghai-CN,DTC-eComm-EMEA,2024-W42,NK-METCON-PPL-10,2026,668,1378,118,2126,2291,1953,2531,132,2388
Baseline_v1,DC-Johannesburg-ZA,Retail-APAC,2024-W33,NK-AIR-MAX-BLU-7,3656,1169,2562,152,4055,2849,4365,3858,163,4998
Consensus_v2,DC-Memphis-TN,DTC-eComm-EMEA,2024-W41,NK-REACT-PPL-7,3649,1224,2541,93,3923,3548,3689,4155,110,4763
Consensus_v2,DC-Portland-OR,DTC-Stores-EMEA,2024-W46,NK-SPORTS-BRA-INDY-GRY-XL,1035,306,714,57,1059,1126,1038,1117,55,1214
Baseline_v2,DC-Dubai-UAE,Retail-EMEA,2024-W30,NK-LEBRON-NVY-7,775,230,554,23,821,839,915,767,21,926
Consensus_v2,DC-Laakdal-BE,DTC-Stores-NA,2024-W25,NK-AIR-MAX-WHT-12,2245,842,1673,195,2458,2703,2494,2503,193,2916
Consensus_v2,DC-Sao-Paulo-BR,Wholesale-NA,2024-W43,NK-REACT-NVY-9,3002,857,2029,94,3008,3463,3367,3772,104,2719
Consensus_v1,DC-Dubai-UAE,DTC-Stores-NA,2024-W27,NK-FREE-RN-GRN-7,3871,1363,2716,220,3928,4257,4382,3890,249,3590
Consensus_v1,DC-Memphis-TN,Wholesale-NA,2024-W18,NK-BACKPACK-BRSLA-WHT,2052,710,1243,60,2073,2171,2412,2125,52,1676
OP_Plan_2025,DC-Portland-OR,Wholesale-APAC,2024-W05,NK-BLAZER-BLK-9,1283,424,854,45,1329,1011,1329,1178,38,1270
Baseline_v1,DC-Johannesburg-ZA,Retail-EMEA,2024-W48,NK-DUNK-PPL-10,2814,886,1827,81,2860,3567,2993,3232,94,2875
Baseline_v1,DC-Sao-Paulo-BR,DTC-Stores-NA,2024-W52,NK-AIR-MAX-GLD-9,241,84,167,18,260,316,253,277,17,297
Consensus_v2,DC-Shanghai-CN,DTC-eComm-EMEA,2024-W51,NK-ZOOM-PEGA-OGR-11,4442,1432,3102,258,4661,3470,4281,4918,258,5151
OP_Plan_2025,DC-Johannesburg-ZA,Wholesale-NA,2024-W16,NK-DUNK-WHT-9,3474,1267,2430,147,3735,4929,4087,3335,175,4113
Consensus_v2,DC-Portland-OR,DTC-Stores-EMEA,2024-W24,NK-BLAZER-BLU-12,3426,1042,2479,275,3575,4308,3235,3675,243,3686
Baseline_v1,DC-Shanghai-CN,Wholesale-LATAM,2024-W01,NK-BLAZER-GLD-7,895,281,683,27,982,746,1055,775,29,844
Baseline_v1,DC-Portland-OR,Retail-APAC,2024-W19,NK-REACT-GRY-7,2440,777,1592,51,2464,2753,2560,2828,53,2588
Consensus_v1,DC-Memphis-TN,Wholesale-LATAM,2024-W19,NK-REACT-BLU-7,1606,506,990,101,1613,1859,1747,1947,97,1832
Consensus_v1,DC-Dubai-UAE,DTC-Stores-NA,2024-W02,NK-JORDAN-GLD-10,3159,964,2265,130,3402,2956,3411,3416,146,3205
Baseline_v2,DC-Portland-OR,DTC-eComm-NA,2024-W06,NK-HUARACHE-GRY-10,1916,686,1366,53,1969,2038,2175,2242,62,1670
