Supplier.[Supplier Location],Version.[Version Name],Activity2.[Activity2],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast,W Procurement Forecast From Purchase Orders,W Procurement Forecast Infinite Node,W Procurement Forecast Non Infinite Node,W Procurement Forecast Override,W Procurement Forecast within Lead Time For Starts,W Procurement Total Requirements,W Published Procurement Forecast
SUP-Indonesia-JKT,Baseline_v1,Seasonal-Build,DC-Tokyo-JP,2025-W04,NK-SOCK-PERF-3PK-L,2112,1365,1592,520,9,950,2415,2121
SUP-Indonesia-JKT,Consensus_v1,Safety-Stock-Build,DC-Portland-OR,2025-W33,NK-LEGGING-EPIC-BLK-S,538,353,274,264,31,363,611,569
SUP-China-SHH,Baseline_v2,Seasonal-Build,DC-Laakdal-BE,2025-W50,NK-REACT-INF-RD-11,4139,2691,3427,712,269,1583,4516,4408
SUP-Cambodia-PNH,Consensus_v2,Make-to-Order,DC-Tokyo-JP,2025-W50,NK-TEE-PRO-BLK-M,1815,1202,1187,628,123,791,1976,1938
SUP-Mexico-MTY,Consensus_v1,Make-to-Stock,DC-Laakdal-BE,2025-W48,NK-ZOOM-PEGA-GRY-10,4695,1951,3132,1563,454,2437,5227,5149
SUP-India-CHN,Baseline_v1,Replenishment,DC-Portland-OR,2025-W30,NK-BACKPACK-BRSLA-BLK,1985,1410,1263,722,184,1277,2211,2169
SUP-India-CHN,Baseline_v1,Replenishment,DC-Shanghai-CN,2025-W09,NK-LEBRON-20-BLK-12,2764,1654,1812,952,82,939,2924,2846
SUP-China-SHH,Baseline_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W21,NK-ZOOM-PEGA-GRY-10,4792,3214,3320,1472,236,1597,5097,5028
SUP-Indonesia-JKT,OP_Plan_2025,Replenishment,DC-Sao-Paulo-BR,2025-W29,NK-AIR-HUARACHE-BLK-10,4741,3378,2585,2156,441,3269,5686,5182
SUP-Bangladesh-DAC,OP_Plan_2025,Make-to-Order,DC-Portland-OR,2025-W50,NK-AIR-FORCE-1-WHT-9,3587,2824,2780,807,300,2319,4217,3887
SUP-Cambodia-PNH,Baseline_v1,Seasonal-Build,DC-Shanghai-CN,2025-W36,NK-FREE-RN-5-BLU-9,590,256,527,63,22,264,691,612
SUP-Bangladesh-DAC,Consensus_v1,Seasonal-Build,DC-Tokyo-JP,2025-W50,NK-SPORTS-BRA-INDY-M,3599,2133,2343,1256,253,1437,3957,3852
SUP-Cambodia-PNH,Consensus_v2,Make-to-Stock,DC-Portland-OR,2025-W33,NK-FREE-RN-5-BLU-9,770,344,584,186,57,410,919,827
SUP-India-CHN,Consensus_v1,Safety-Stock-Build,DC-Tokyo-JP,2025-W36,NK-REACT-INF-RD-11,2294,1653,2044,250,127,984,2423,2421
SUP-Bangladesh-DAC,Consensus_v1,Make-to-Stock,DC-Laakdal-BE,2025-W12,NK-DUNK-LOW-GRN-9,3537,1521,2003,1534,76,1477,4242,3613
SUP-Indonesia-JKT,Baseline_v2,Safety-Stock-Build,DC-Memphis-TN,2025-W28,NK-AIR-MAX-90-NVY-8,4761,3599,3248,1513,295,1956,5133,5056
SUP-China-SHH,OP_Plan_2025,Seasonal-Build,DC-Dubai-UAE,2025-W35,NK-FREE-RN-5-BLU-9,4877,3874,3800,1077,261,2066,5716,5138
SUP-India-CHN,OP_Plan_2025,Make-to-Stock,DC-Dubai-UAE,2025-W01,NK-CAP-LEGACY-WHT,4759,3285,3547,1212,199,3203,5615,4958
SUP-India-CHN,Baseline_v1,Make-to-Order,DC-Portland-OR,2025-W35,NK-AIR-MAX-270-BLK-10,4938,2272,3642,1296,188,3397,5808,5126
SUP-Cambodia-PNH,OP_Plan_2025,Seasonal-Build,DC-Tokyo-JP,2025-W10,NK-DUNK-LOW-GRN-9,265,113,205,60,14,158,314,279
SUP-Vietnam-HCM,Baseline_v1,Make-to-Order,DC-Shanghai-CN,2025-W31,NK-KD-15-GLD-11,2013,999,1171,842,50,825,2176,2063
SUP-China-SHH,OP_Plan_2025,Replenishment,DC-Portland-OR,2025-W17,NK-SOCK-PERF-3PK-L,306,183,211,95,25,129,358,331
SUP-Mexico-MTY,Consensus_v2,Make-to-Order,DC-Dubai-UAE,2025-W50,NK-AIR-FORCE-1-WHT-9,2504,1422,2037,467,160,1557,2968,2664
SUP-Cambodia-PNH,Consensus_v2,Make-to-Order,DC-Laakdal-BE,2025-W17,NK-AIR-MAX-90-NVY-8,3255,2024,1745,1510,236,1689,3637,3491
SUP-Bangladesh-DAC,OP_Plan_2025,Make-to-Order,DC-Tokyo-JP,2025-W43,NK-AIR-HUARACHE-BLK-10,4023,2348,3366,657,309,1313,4251,4332
SUP-Mexico-MTY,Consensus_v2,Safety-Stock-Build,DC-Portland-OR,2025-W03,NK-REACT-INF-RD-11,1352,581,745,607,17,487,1447,1369
SUP-Indonesia-JKT,OP_Plan_2025,Seasonal-Build,DC-Dubai-UAE,2025-W01,NK-AIR-MAX-90-NVY-8,2673,2109,1980,693,59,1680,2945,2732
SUP-Vietnam-HCM,Baseline_v1,Replenishment,DC-Sao-Paulo-BR,2025-W48,NK-BACKPACK-BRSLA-BLK,2411,1163,1556,855,121,1389,2545,2532
SUP-Bangladesh-DAC,Baseline_v2,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W14,NK-AIR-FORCE-1-WHT-9,1529,1104,1222,307,28,586,1690,1557
SUP-Cambodia-PNH,Consensus_v2,Seasonal-Build,DC-Memphis-TN,2025-W38,NK-REACT-INF-RD-11,3787,1570,2275,1512,270,2492,4267,4057
SUP-Bangladesh-DAC,Baseline_v2,Safety-Stock-Build,DC-Portland-OR,2025-W17,NK-TEE-PRO-BLK-M,2106,930,1674,432,38,1106,2476,2144
SUP-Indonesia-JKT,Baseline_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W42,NK-JORDAN-1-WHT-10,3049,2047,2486,563,151,1020,3447,3200
SUP-Vietnam-HCM,Baseline_v1,Seasonal-Build,DC-Dubai-UAE,2025-W21,NK-FREE-RN-5-BLU-9,1819,1382,1351,468,44,908,2000,1863
SUP-Vietnam-HCM,Consensus_v1,Replenishment,DC-Sao-Paulo-BR,2025-W40,NK-AIR-MAX-90-NVY-8,1953,1162,1641,312,17,1215,2066,1970
SUP-Vietnam-HCM,Consensus_v1,Make-to-Stock,DC-Memphis-TN,2025-W15,NK-AIR-HUARACHE-BLK-10,4915,2186,3239,1676,476,3176,5763,5391
SUP-Vietnam-HCM,Consensus_v2,Make-to-Stock,DC-Shanghai-CN,2025-W47,NK-AIR-MAX-270-BLK-10,2943,1506,2377,566,55,1263,3277,2998
SUP-Vietnam-HCM,Baseline_v2,Make-to-Order,DC-Tokyo-JP,2025-W23,NK-DUNK-LOW-GRN-9,3130,1613,2292,838,48,1541,3536,3178
SUP-China-GZH,Consensus_v1,Make-to-Stock,DC-Tokyo-JP,2025-W44,NK-CAP-LEGACY-WHT,4951,2618,4079,872,126,2834,5763,5077
SUP-Bangladesh-DAC,Consensus_v2,Seasonal-Build,DC-Laakdal-BE,2025-W41,NK-AIR-MAX-90-NVY-8,796,551,696,100,14,259,924,810
SUP-China-SHH,Baseline_v1,Seasonal-Build,DC-Memphis-TN,2025-W25,NK-CAP-LEGACY-WHT,1167,543,660,507,95,660,1316,1262
SUP-Cambodia-PNH,Baseline_v1,Make-to-Stock,DC-Portland-OR,2025-W33,NK-JACKET-WIND-RED-XL,4119,2371,2680,1439,190,1732,4786,4309
SUP-Cambodia-PNH,Consensus_v1,Make-to-Order,DC-Shanghai-CN,2025-W15,NK-JACKET-WIND-RED-XL,2042,1260,1761,281,127,708,2431,2169
SUP-India-CHN,Consensus_v1,Make-to-Stock,DC-Dubai-UAE,2025-W04,NK-AIR-FORCE-1-WHT-9,3176,1948,2723,453,250,1145,3483,3426
SUP-Mexico-MTY,Consensus_v2,Seasonal-Build,DC-Tokyo-JP,2025-W29,NK-JACKET-WIND-RED-XL,3859,2896,2457,1402,316,1328,4541,4175
SUP-China-GZH,OP_Plan_2025,Safety-Stock-Build,DC-Laakdal-BE,2025-W10,NK-KD-15-GLD-11,2162,1532,1091,1071,129,1137,2502,2291
SUP-Bangladesh-DAC,Baseline_v2,Make-to-Stock,DC-Portland-OR,2025-W47,NK-KD-15-GLD-11,3000,1681,2054,946,284,1084,3413,3284
SUP-Indonesia-JKT,Baseline_v1,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W09,NK-LEGGING-EPIC-BLK-S,4386,3389,3184,1202,305,2934,5070,4691
SUP-Bangladesh-DAC,Consensus_v2,Make-to-Stock,DC-Portland-OR,2025-W51,NK-KD-15-GLD-11,3734,2889,3249,485,168,1289,4472,3902
SUP-China-GZH,Consensus_v2,Make-to-Stock,DC-Memphis-TN,2025-W11,NK-FREE-RN-5-BLU-9,3117,1719,2486,631,64,1917,3555,3181
SUP-China-GZH,Baseline_v1,Safety-Stock-Build,DC-Dubai-UAE,2025-W24,NK-AIR-MAX-270-BLK-10,1862,1003,1480,382,84,725,2081,1946
SUP-China-SHH,Baseline_v1,Make-to-Stock,DC-Shanghai-CN,2025-W22,NK-KD-15-GLD-11,1939,1225,1459,480,2,1096,2087,1941
SUP-Mexico-MTY,OP_Plan_2025,Make-to-Stock,DC-Tokyo-JP,2025-W29,NK-SOCK-PERF-3PK-L,2610,1665,1375,1235,195,1002,3092,2805
SUP-Indonesia-JKT,Consensus_v1,Safety-Stock-Build,DC-Portland-OR,2025-W08,NK-LEBRON-20-BLK-12,2911,1240,2358,553,131,1483,3249,3042
SUP-Mexico-MTY,Baseline_v2,Seasonal-Build,DC-Portland-OR,2025-W03,NK-KD-15-GLD-11,3815,1941,3276,539,200,2366,4565,4015
SUP-Mexico-MTY,Consensus_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W37,NK-SHORT-DRI-NVY-L,699,503,399,300,45,276,744,744
SUP-India-CHN,Consensus_v1,Safety-Stock-Build,DC-Tokyo-JP,2025-W18,NK-AIR-FORCE-1-WHT-9,1607,1218,811,796,13,615,1693,1620
SUP-China-SHH,OP_Plan_2025,Seasonal-Build,DC-Dubai-UAE,2025-W30,NK-JORDAN-1-WHT-10,4570,2970,2898,1672,377,2034,4821,4947
SUP-Mexico-MTY,Consensus_v1,Make-to-Stock,DC-Memphis-TN,2025-W51,NK-BACKPACK-BRSLA-BLK,2293,1187,2016,277,175,816,2706,2468
SUP-China-SHH,Baseline_v2,Make-to-Order,DC-Tokyo-JP,2025-W45,NK-AIR-FORCE-1-WHT-9,1489,918,1121,368,38,529,1749,1527
SUP-Vietnam-HCM,OP_Plan_2025,Make-to-Stock,DC-Dubai-UAE,2025-W12,NK-DUNK-LOW-GRN-9,1507,613,1304,203,17,799,1644,1524
SUP-India-CHN,Baseline_v2,Seasonal-Build,DC-Portland-OR,2025-W26,NK-SHORT-DRI-NVY-L,872,440,528,344,63,349,998,935
SUP-India-CHN,Consensus_v1,Replenishment,DC-Shanghai-CN,2025-W49,NK-LEBRON-20-BLK-12,425,198,337,88,3,230,461,428
SUP-Indonesia-JKT,Consensus_v2,Safety-Stock-Build,DC-Laakdal-BE,2025-W35,NK-SPORTS-BRA-INDY-M,3129,2439,2060,1069,298,1107,3512,3427
SUP-Vietnam-HCM,Baseline_v1,Make-to-Stock,DC-Portland-OR,2025-W43,NK-KD-15-GLD-11,446,266,329,117,14,271,475,460
SUP-Indonesia-JKT,Consensus_v2,Replenishment,DC-Tokyo-JP,2025-W44,NK-BACKPACK-BRSLA-BLK,2287,1140,1892,395,182,1321,2494,2469
SUP-Mexico-MTY,OP_Plan_2025,Make-to-Stock,DC-Sao-Paulo-BR,2025-W37,NK-SOCK-PERF-3PK-L,856,667,580,276,15,442,1010,871
SUP-Cambodia-PNH,Baseline_v2,Make-to-Stock,DC-Sao-Paulo-BR,2025-W26,NK-LEBRON-20-BLK-12,4276,2137,2975,1301,94,2972,5095,4370
SUP-Indonesia-JKT,Consensus_v2,Replenishment,DC-Memphis-TN,2025-W42,NK-LEBRON-20-BLK-12,362,245,224,138,33,249,431,395
SUP-Mexico-MTY,Baseline_v2,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W15,NK-BACKPACK-BRSLA-BLK,377,240,223,154,4,124,435,381
SUP-Indonesia-JKT,Consensus_v1,Make-to-Order,DC-Memphis-TN,2025-W30,NK-TEE-PRO-BLK-M,2784,1850,2213,571,144,1310,3289,2928
SUP-India-CHN,OP_Plan_2025,Safety-Stock-Build,DC-Portland-OR,2025-W16,NK-METCON-8-GRY-10,2738,2123,2243,495,273,1205,3189,3011
SUP-China-GZH,OP_Plan_2025,Make-to-Order,DC-Shanghai-CN,2025-W18,NK-AIR-MAX-90-NVY-8,4923,3482,3284,1639,207,2929,5345,5130
SUP-China-SHH,Consensus_v1,Make-to-Order,DC-Tokyo-JP,2025-W37,NK-AIR-HUARACHE-BLK-10,402,163,359,43,17,182,463,419
SUP-Cambodia-PNH,Consensus_v2,Safety-Stock-Build,DC-Laakdal-BE,2025-W08,NK-SPORTS-BRA-INDY-M,3025,2398,2582,443,181,2001,3625,3206
SUP-Vietnam-HCM,Baseline_v1,Make-to-Order,DC-Laakdal-BE,2025-W06,NK-AIR-MAX-90-NVY-8,4221,2077,3512,709,50,1345,4675,4271
SUP-Indonesia-JKT,Consensus_v1,Make-to-Order,DC-Memphis-TN,2025-W17,NK-REACT-INF-RD-11,477,375,407,70,44,332,513,521
SUP-Indonesia-JKT,Consensus_v1,Make-to-Stock,DC-Laakdal-BE,2025-W28,NK-JORDAN-1-WHT-10,4115,2015,2425,1690,220,2210,4678,4335
SUP-Indonesia-JKT,Consensus_v2,Replenishment,DC-Tokyo-JP,2025-W48,NK-CAP-LEGACY-WHT,413,305,212,201,13,277,479,426
SUP-Mexico-MTY,OP_Plan_2025,Replenishment,DC-Memphis-TN,2025-W03,NK-KD-15-GLD-11,589,287,455,134,4,377,662,593
SUP-Vietnam-HCM,Consensus_v1,Replenishment,DC-Portland-OR,2025-W13,NK-AIR-HUARACHE-BLK-10,3454,2163,2095,1359,303,2137,3967,3757
SUP-India-CHN,Baseline_v2,Make-to-Stock,DC-Laakdal-BE,2025-W31,NK-DUNK-LOW-GRN-9,1345,1038,729,616,94,505,1590,1439
SUP-India-CHN,Consensus_v2,Make-to-Order,DC-Tokyo-JP,2025-W46,NK-BACKPACK-BRSLA-BLK,818,436,652,166,13,513,961,831
SUP-China-GZH,Baseline_v2,Make-to-Stock,DC-Memphis-TN,2025-W28,NK-JACKET-WIND-RED-XL,2887,1288,1878,1009,2,1811,3086,2889
SUP-Vietnam-HCM,Consensus_v2,Make-to-Stock,DC-Memphis-TN,2025-W01,NK-CAP-LEGACY-WHT,4673,2060,4088,585,321,1528,5117,4994
SUP-Cambodia-PNH,OP_Plan_2025,Replenishment,DC-Portland-OR,2025-W06,NK-JACKET-WIND-RED-XL,4383,3459,3890,493,328,1542,5100,4711
SUP-Vietnam-HCM,Consensus_v1,Seasonal-Build,DC-Portland-OR,2025-W39,NK-JACKET-WIND-RED-XL,2545,1802,1968,577,113,1042,3052,2658
SUP-China-GZH,Consensus_v1,Make-to-Stock,DC-Dubai-UAE,2025-W44,NK-JACKET-WIND-RED-XL,4015,2720,2362,1653,33,2297,4609,4048
SUP-China-SHH,Baseline_v2,Seasonal-Build,DC-Laakdal-BE,2025-W49,NK-METCON-8-GRY-10,2214,1451,1459,755,60,1535,2460,2274
SUP-Mexico-MTY,Consensus_v1,Make-to-Order,DC-Shanghai-CN,2025-W07,NK-REACT-INF-RD-11,2901,1707,2080,821,46,1106,3085,2947
SUP-Bangladesh-DAC,Baseline_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W36,NK-JORDAN-1-WHT-10,4024,2083,3479,545,389,1505,4504,4413
SUP-China-GZH,OP_Plan_2025,Make-to-Stock,DC-Tokyo-JP,2025-W18,NK-CAP-LEGACY-WHT,1162,693,610,552,67,473,1359,1229
SUP-Mexico-MTY,Consensus_v1,Replenishment,DC-Portland-OR,2025-W17,NK-METCON-8-GRY-10,2503,1601,1543,960,173,1612,2920,2676
SUP-Mexico-MTY,Baseline_v2,Safety-Stock-Build,DC-Portland-OR,2025-W02,NK-AIR-MAX-270-BLK-10,4935,2255,3452,1483,305,2867,5596,5240
SUP-Cambodia-PNH,Baseline_v2,Make-to-Order,DC-Memphis-TN,2025-W15,NK-AIR-FORCE-1-WHT-9,621,335,318,303,4,284,664,625
SUP-Vietnam-HCM,Baseline_v1,Make-to-Order,DC-Shanghai-CN,2025-W08,NK-KD-15-GLD-11,397,265,349,48,4,261,452,401
SUP-China-SHH,Baseline_v2,Make-to-Order,DC-Sao-Paulo-BR,2025-W03,NK-JORDAN-1-WHT-10,3627,2613,2305,1322,295,1204,4295,3922
SUP-China-GZH,Baseline_v2,Replenishment,DC-Sao-Paulo-BR,2025-W46,NK-ZOOM-PEGA-GRY-10,987,567,779,208,58,552,1107,1045
SUP-China-GZH,OP_Plan_2025,Make-to-Stock,DC-Laakdal-BE,2025-W03,NK-DUNK-LOW-GRN-9,3772,2824,2540,1232,16,1375,3972,3788
SUP-India-CHN,Baseline_v2,Seasonal-Build,DC-Shanghai-CN,2025-W37,NK-ZOOM-PEGA-GRY-10,2135,1042,1424,711,43,1358,2297,2178
SUP-Indonesia-JKT,OP_Plan_2025,Make-to-Order,DC-Shanghai-CN,2025-W02,NK-JACKET-WIND-RED-XL,3729,2636,2617,1112,202,1885,4244,3931
SUP-India-CHN,Baseline_v2,Seasonal-Build,DC-Sao-Paulo-BR,2025-W33,NK-REACT-INF-RD-11,4523,2572,2762,1761,267,3007,4892,4790
SUP-India-CHN,OP_Plan_2025,Seasonal-Build,DC-Portland-OR,2025-W47,NK-SHORT-DRI-NVY-L,3924,2205,2906,1018,248,1762,4421,4172
SUP-Indonesia-JKT,Consensus_v1,Seasonal-Build,DC-Tokyo-JP,2025-W01,NK-KD-15-GLD-11,2671,1452,1969,702,43,1219,3192,2714
SUP-Mexico-MTY,Baseline_v2,Seasonal-Build,DC-Memphis-TN,2025-W12,NK-JORDAN-1-WHT-10,3073,1716,1827,1246,72,2008,3430,3145
SUP-Vietnam-HCM,Consensus_v1,Seasonal-Build,DC-Sao-Paulo-BR,2025-W37,NK-METCON-8-GRY-10,2268,1132,1693,575,160,831,2438,2428
SUP-India-CHN,Consensus_v2,Make-to-Order,DC-Dubai-UAE,2025-W02,NK-JORDAN-1-WHT-10,2478,1827,2037,441,145,1604,2678,2623
SUP-India-CHN,Baseline_v1,Make-to-Stock,DC-Laakdal-BE,2025-W14,NK-METCON-8-GRY-10,2749,2129,1417,1332,33,1321,3271,2782
SUP-Vietnam-HCM,Consensus_v1,Make-to-Order,DC-Sao-Paulo-BR,2025-W44,NK-FREE-RN-5-BLU-9,912,724,808,104,0,620,1045,912
SUP-Indonesia-JKT,OP_Plan_2025,Make-to-Stock,DC-Sao-Paulo-BR,2025-W08,NK-FREE-RN-5-BLU-9,870,358,542,328,61,331,1001,931
SUP-Indonesia-JKT,Baseline_v2,Make-to-Stock,DC-Memphis-TN,2025-W08,NK-JACKET-WIND-RED-XL,4367,2056,3393,974,366,2960,5032,4733
SUP-Mexico-MTY,OP_Plan_2025,Seasonal-Build,DC-Portland-OR,2025-W26,NK-AIR-FORCE-1-WHT-9,2938,1210,2563,375,202,1676,3179,3140
SUP-India-CHN,Baseline_v1,Replenishment,DC-Shanghai-CN,2025-W34,NK-FREE-RN-5-BLU-9,4997,2095,4451,546,203,3239,5833,5200
SUP-China-GZH,Baseline_v1,Make-to-Stock,DC-Tokyo-JP,2025-W15,NK-AIR-MAX-270-BLK-10,1769,1179,1456,313,134,1095,1973,1903
SUP-Vietnam-HCM,Consensus_v1,Safety-Stock-Build,DC-Dubai-UAE,2025-W26,NK-AIR-HUARACHE-BLK-10,1959,1094,1524,435,76,939,2126,2035
SUP-Mexico-MTY,Baseline_v2,Safety-Stock-Build,DC-Tokyo-JP,2025-W29,NK-METCON-8-GRY-10,3096,2065,2315,781,143,1399,3651,3239
SUP-Bangladesh-DAC,Baseline_v2,Safety-Stock-Build,DC-Laakdal-BE,2025-W43,NK-TEE-PRO-BLK-M,915,558,547,368,43,418,1036,958
SUP-China-GZH,Consensus_v2,Seasonal-Build,DC-Tokyo-JP,2025-W22,NK-LEGGING-EPIC-BLK-S,4147,2373,3560,587,29,2827,4761,4176
SUP-China-GZH,Baseline_v2,Safety-Stock-Build,DC-Dubai-UAE,2025-W18,NK-AIR-FORCE-1-WHT-9,686,407,413,273,19,290,802,705
SUP-India-CHN,Baseline_v1,Make-to-Order,DC-Tokyo-JP,2025-W42,NK-ZOOM-PEGA-GRY-10,1508,852,827,681,27,863,1624,1535
SUP-India-CHN,OP_Plan_2025,Safety-Stock-Build,DC-Portland-OR,2025-W26,NK-JORDAN-1-WHT-10,2237,972,1848,389,83,1142,2386,2320
SUP-China-GZH,OP_Plan_2025,Safety-Stock-Build,DC-Memphis-TN,2025-W24,NK-LEGGING-EPIC-BLK-S,3303,1552,2128,1175,299,2008,3743,3602
SUP-India-CHN,Baseline_v1,Replenishment,DC-Shanghai-CN,2025-W34,NK-AIR-MAX-270-BLK-10,4285,2864,3530,755,328,1542,4771,4613
SUP-Indonesia-JKT,Baseline_v1,Seasonal-Build,DC-Tokyo-JP,2025-W25,NK-AIR-FORCE-1-WHT-9,1240,543,631,609,79,673,1403,1319
SUP-China-GZH,Consensus_v2,Replenishment,DC-Shanghai-CN,2025-W26,NK-FREE-RN-5-BLU-9,1517,969,1168,349,67,725,1757,1584
