Version.[Version Name],Location.[Location],Item.[Item],12W Accuracy,12W MAPE,4W Accuracy,4W MAPE,8W Accuracy,8W MAPE
Consensus_v2,DC-Johannesburg-ZA,NK-METCON-OGR-11,74.12%,43.31%,81.94%,30.77%,72.20%,36.36%
Baseline_v2,DC-Johannesburg-ZA,NK-SPORTS-BRA-INDY-NVY-XL,68.63%,44.15%,73.56%,36.50%,80.41%,24.30%
OP_Plan_2025,DC-Laakdal-BE,NK-METCON-OGR-9,54.16%,60.00%,92.05%,14.19%,87.19%,21.13%
OP_Plan_2025,DC-Shanghai-CN,NK-AIR-FORCE-BLU-13,64.27%,48.74%,79.44%,30.70%,82.03%,28.93%
Consensus_v2,DC-Dubai-UAE,NK-METCON-NVY-13,57.06%,53.64%,82.38%,22.87%,82.67%,28.02%
Consensus_v1,DC-Portland-OR,NK-BLAZER-WHT-8,77.44%,40.14%,94.15%,7.12%,81.01%,33.15%
Consensus_v2,DC-Johannesburg-ZA,NK-METCON-GLD-7,70.85%,41.42%,92.56%,9.95%,67.54%,39.56%
Consensus_v1,DC-Tokyo-JP,NK-AIR-FORCE-GRN-11,77.03%,38.05%,76.27%,40.85%,82.19%,29.61%
Baseline_v1,DC-Dubai-UAE,NK-HUARACHE-OGR-9,64.79%,42.28%,78.77%,37.10%,87.16%,16.84%
Consensus_v1,DC-Johannesburg-ZA,NK-ALPHAFLY-OGR-11,58.61%,60.00%,76.61%,34.96%,63.67%,56.28%
OP_Plan_2025,DC-Portland-OR,NK-AIR-FORCE-BLU-10,69.20%,42.35%,72.27%,34.48%,72.20%,41.36%
Consensus_v2,DC-Shanghai-CN,NK-ALPHAFLY-NVY-13,54.67%,57.19%,93.91%,10.62%,80.83%,31.62%
Baseline_v1,DC-Tokyo-JP,NK-BLAZER-GRN-13,52.81%,60.00%,84.87%,18.24%,70.49%,44.58%
Baseline_v2,DC-Sao-Paulo-BR,NK-FREE-RN-GRN-9,72.18%,47.09%,80.23%,27.55%,87.41%,16.62%
Baseline_v1,DC-Memphis-TN,NK-DUNK-GRN-11,79.96%,24.67%,74.41%,40.49%,80.37%,23.93%
Consensus_v2,DC-Johannesburg-ZA,NK-KD-GLD-7,76.07%,29.86%,92.03%,12.98%,82.84%,24.08%
Baseline_v2,DC-Dubai-UAE,NK-SHORT-DRI-RED-L,55.25%,60.00%,85.74%,23.82%,74.50%,31.22%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-KD-RED-12,81.23%,26.32%,77.68%,28.92%,84.67%,20.42%
Baseline_v1,DC-Laakdal-BE,NK-CORTEZ-OGR-9,57.31%,60.00%,87.15%,19.26%,76.44%,38.44%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-ZOOM-PEGA-BLK-9,58.25%,60.00%,76.59%,37.65%,63.88%,44.01%
Consensus_v1,DC-Johannesburg-ZA,NK-KD-WHT-9,66.16%,51.65%,91.46%,13.46%,81.12%,31.35%
Consensus_v1,DC-Laakdal-BE,NK-REACT-GLD-12,75.37%,39.23%,72.68%,39.27%,77.76%,34.66%
Consensus_v2,DC-Johannesburg-ZA,NK-BLAZER-GRY-10,73.46%,33.94%,92.98%,9.31%,78.20%,34.43%
Consensus_v2,DC-Tokyo-JP,NK-ZOOM-PEGA-GRN-7,77.34%,33.88%,76.13%,32.04%,87.26%,16.68%
Baseline_v2,DC-Laakdal-BE,NK-AIR-MAX-BLK-7,62.51%,60.00%,83.84%,22.87%,77.42%,29.32%
Consensus_v1,DC-Dubai-UAE,NK-REACT-BLU-8,64.52%,47.60%,79.48%,34.15%,65.40%,60.00%
Consensus_v2,DC-Portland-OR,NK-ZOOM-PEGA-BLU-13,64.38%,55.31%,79.61%,29.96%,79.40%,26.52%
Baseline_v1,DC-Johannesburg-ZA,NK-AIR-FORCE-GRY-10,71.24%,42.70%,75.84%,31.42%,62.95%,60.00%
OP_Plan_2025,DC-Shanghai-CN,NK-AIR-MAX-PPL-10,81.57%,23.47%,91.88%,12.47%,76.04%,29.25%
Consensus_v2,DC-Memphis-TN,NK-HUARACHE-WHT-10,60.12%,60.00%,72.90%,34.50%,73.76%,46.20%
Consensus_v1,DC-Memphis-TN,NK-DUNK-GLD-7,70.45%,50.85%,94.69%,9.44%,62.13%,60.00%
Baseline_v2,DC-Tokyo-JP,NK-BACKPACK-BRSLA-BLK,72.55%,36.26%,87.34%,16.26%,62.78%,51.54%
Baseline_v2,DC-Laakdal-BE,NK-AIR-FORCE-BLK-13,58.17%,60.00%,88.81%,14.48%,68.10%,56.72%
Consensus_v2,DC-Portland-OR,NK-METCON-OGR-12,53.62%,60.00%,77.62%,38.02%,84.48%,25.78%
Baseline_v2,DC-Johannesburg-ZA,NK-REACT-WHT-10,53.41%,60.00%,76.96%,36.76%,72.24%,44.16%
Consensus_v2,DC-Memphis-TN,NK-REACT-GRY-9,68.14%,52.34%,94.48%,7.98%,84.64%,25.64%
Consensus_v1,DC-Portland-OR,NK-CORTEZ-GRY-12,75.53%,35.76%,79.52%,32.78%,83.00%,28.17%
OP_Plan_2025,DC-Portland-OR,NK-REACT-OGR-13,68.03%,45.66%,86.93%,18.26%,78.39%,33.85%
Baseline_v2,DC-Dubai-UAE,NK-ZOOM-PEGA-GRY-13,55.39%,60.00%,84.55%,22.66%,62.38%,58.39%
OP_Plan_2025,DC-Memphis-TN,NK-METCON-PPL-12,76.04%,30.32%,84.47%,27.49%,84.03%,27.93%
Consensus_v1,DC-Laakdal-BE,NK-ZOOM-PEGA-GRY-9,76.02%,39.12%,85.34%,22.28%,77.81%,36.82%
Consensus_v1,DC-Sao-Paulo-BR,NK-BLAZER-GRN-8,80.55%,30.98%,90.92%,13.25%,85.31%,18.25%
Consensus_v1,DC-Tokyo-JP,NK-LEBRON-GRN-10,58.22%,57.28%,93.49%,9.18%,64.64%,52.74%
Baseline_v2,DC-Portland-OR,NK-TEE-PRO-GRY-L,62.80%,60.00%,84.24%,24.40%,64.33%,58.16%
Baseline_v2,DC-Tokyo-JP,NK-BLAZER-GRN-11,72.69%,34.52%,76.17%,38.34%,66.72%,50.43%
Consensus_v1,DC-Tokyo-JP,NK-SOCK-PERF-3PK-RED,61.95%,57.68%,93.11%,10.03%,64.26%,60.00%
Baseline_v1,DC-Tokyo-JP,NK-SHORT-DRI-NVY-XL,70.69%,38.24%,86.67%,20.11%,77.43%,37.83%
Consensus_v2,DC-Sao-Paulo-BR,NK-JORDAN-GRN-13,58.79%,60.00%,92.70%,10.31%,68.16%,53.12%
Baseline_v2,DC-Portland-OR,NK-BLAZER-GRY-9,55.38%,60.00%,74.20%,40.62%,73.75%,40.75%
Baseline_v1,DC-Dubai-UAE,NK-ALPHAFLY-RED-13,56.60%,60.00%,84.31%,20.50%,70.12%,39.99%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-VAPORFLY-BLU-10,72.24%,40.04%,85.67%,21.46%,87.68%,15.79%
Consensus_v2,DC-Johannesburg-ZA,NK-LEBRON-WHT-8,68.51%,42.97%,94.80%,6.64%,64.71%,57.69%
Consensus_v2,DC-Memphis-TN,NK-METCON-GRY-7,69.75%,44.33%,85.70%,20.60%,71.54%,40.02%
OP_Plan_2025,DC-Memphis-TN,NK-FREE-RN-NVY-8,70.83%,44.33%,90.41%,12.86%,76.04%,41.40%
Consensus_v2,DC-Memphis-TN,NK-AIR-MAX-RED-8,73.38%,39.37%,87.40%,22.64%,79.21%,31.91%
Consensus_v2,DC-Portland-OR,NK-HUARACHE-RED-9,53.09%,60.00%,76.03%,38.68%,67.22%,49.87%
Consensus_v2,DC-Portland-OR,NK-LEGGING-EPIC-WHT-M,50.64%,60.00%,82.92%,24.41%,65.12%,60.00%
Consensus_v2,DC-Memphis-TN,NK-JORDAN-BLU-12,54.09%,60.00%,83.98%,25.21%,64.32%,58.99%
Baseline_v1,DC-Portland-OR,NK-LEBRON-GRN-13,52.80%,60.00%,72.83%,37.54%,68.84%,44.12%
Consensus_v2,DC-Tokyo-JP,NK-BLAZER-OGR-9,79.42%,30.83%,81.13%,27.71%,77.62%,33.79%
Consensus_v1,DC-Johannesburg-ZA,NK-HUARACHE-GRN-10,62.18%,60.00%,76.80%,40.80%,65.03%,59.12%
Consensus_v2,DC-Memphis-TN,NK-BLAZER-WHT-9,72.24%,39.08%,79.01%,26.21%,72.48%,35.89%
OP_Plan_2025,DC-Shanghai-CN,NK-SHORT-DRI-RED-M,65.59%,53.81%,90.92%,11.62%,84.41%,27.34%
Consensus_v2,DC-Tokyo-JP,NK-SHORT-DRI-RED-L,65.30%,52.17%,93.91%,10.32%,79.32%,26.32%
