Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
Packaging,FIRM,SUP-Vietnam-HCM,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000015,DC-Johannesburg-ZA,2025-W01,NK-DUNK-GRN-12,316,2487,2803,2806,1625
Packaging,FIRM,SUP-China-SHH,Baseline_v1,Make,Make-to-Stock,ORD-2025-000016,DC-Johannesburg-ZA,2025-W12,NK-FREE-RN-OGR-11,439,2305,2744,2654,2239
Finished-Goods,FORECAST,SUP-Mexico-MTY,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000017,DC-Johannesburg-ZA,2025-W36,NK-KD-OGR-13,2654,381,3035,3103,2525
Raw-Material,FORECAST,SUP-Indonesia-JKT,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000018,DC-Shanghai-CN,2025-W33,NK-DUNK-RED-9,215,17,232,220,122
Packaging,FORECAST,SUP-China-GZH,Consensus_v1,Make,Seasonal-Build,ORD-2025-000019,DC-Laakdal-BE,2025-W08,NK-DUNK-GRY-12,950,130,1080,1103,670
WIP,FORECAST,SUP-China-SHH,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000020,DC-Shanghai-CN,2025-W28,NK-BLAZER-BLK-12,2216,431,2647,2566,1931
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Consensus_v1,Buy,Safety-Stock-Build,ORD-2025-000021,DC-Sao-Paulo-BR,2025-W21,NK-REACT-RED-10,3457,569,4026,4198,2728
Raw-Material,FORECAST,SUP-Mexico-MTY,Baseline_v2,Transfer,Replenishment,ORD-2025-000022,DC-Memphis-TN,2025-W02,NK-KD-NVY-10,1482,144,1626,1696,1261
Raw-Material,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Make,Make-to-Stock,ORD-2025-000023,DC-Shanghai-CN,2025-W45,NK-AIR-FORCE-GLD-10,735,163,898,879,568
Raw-Material,FORECAST,SUP-Mexico-MTY,Consensus_v1,Buy,Make-to-Order,ORD-2025-000024,DC-Sao-Paulo-BR,2025-W22,NK-FREE-RN-GRY-12,3312,746,4058,3992,2520
Semi-Finished,FORECAST,SUP-China-SHH,Consensus_v2,Buy,Safety-Stock-Build,ORD-2025-000025,DC-Dubai-UAE,2025-W45,NK-ALPHAFLY-BLU-9,1135,80,1215,1219,748
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v1,Make,Make-to-Order,ORD-2025-000026,DC-Tokyo-JP,2025-W26,NK-DUNK-BLU-12,2502,496,2998,3140,2137
Finished-Goods,FIRM,SUP-Mexico-MTY,OP_Plan_2025,Buy,Make-to-Stock,ORD-2025-000027,DC-Johannesburg-ZA,2025-W39,NK-CORTEZ-GLD-9,258,1853,2111,2198,1439
Finished-Goods,FORECAST,SUP-India-CHN,Consensus_v2,Buy,Make-to-Stock,ORD-2025-000028,DC-Dubai-UAE,2025-W46,NK-KD-GRY-10,2507,419,2926,2883,2206
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Baseline_v2,Make,Seasonal-Build,ORD-2025-000029,DC-Shanghai-CN,2025-W34,NK-VAPORFLY-NVY-9,2100,172,2272,2265,1269
Raw-Material,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000030,DC-Johannesburg-ZA,2025-W12,NK-HUARACHE-NVY-9,2309,411,2720,2751,2284
Raw-Material,FORECAST,SUP-China-GZH,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000031,DC-Shanghai-CN,2025-W31,NK-LEBRON-BLK-9,745,173,918,929,731
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Make,Seasonal-Build,ORD-2025-000032,DC-Memphis-TN,2025-W45,NK-ALPHAFLY-GRY-13,1501,328,1829,1862,1152
WIP,FIRM,SUP-Vietnam-HCM,Consensus_v1,Make,Make-to-Stock,ORD-2025-000033,DC-Sao-Paulo-BR,2025-W32,NK-HUARACHE-GRY-11,522,1967,2489,2469,1725
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000034,DC-Laakdal-BE,2025-W19,NK-JORDAN-PPL-8,3888,586,4474,4587,2459
Packaging,FIRM,SUP-China-GZH,Baseline_v2,Transfer,Seasonal-Build,ORD-2025-000035,DC-Tokyo-JP,2025-W35,NK-CORTEZ-BLU-7,905,4136,5041,5271,3884
Raw-Material,FIRM,SUP-Indonesia-JKT,Baseline_v2,Buy,Replenishment,ORD-2025-000036,DC-Sao-Paulo-BR,2025-W29,NK-AIR-MAX-BLK-11,1021,2872,3893,4005,2130
Semi-Finished,FORECAST,SUP-Mexico-MTY,Baseline_v2,Buy,Make-to-Order,ORD-2025-000037,DC-Laakdal-BE,2025-W02,NK-KD-GLD-11,4448,909,5357,5553,4406
Finished-Goods,FIRM,SUP-India-CHN,Consensus_v2,Make,Safety-Stock-Build,ORD-2025-000038,DC-Sao-Paulo-BR,2025-W19,NK-AIR-MAX-GRY-9,950,3669,4619,4763,3960
Raw-Material,FIRM,SUP-China-SHH,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000039,DC-Sao-Paulo-BR,2025-W01,NK-HUARACHE-PPL-8,654,2552,3206,3184,1874
Raw-Material,FORECAST,SUP-China-SHH,OP_Plan_2025,Buy,Seasonal-Build,ORD-2025-000040,DC-Sao-Paulo-BR,2025-W21,NK-FREE-RN-OGR-9,3888,602,4490,4655,2691
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Baseline_v1,Buy,Replenishment,ORD-2025-000041,DC-Johannesburg-ZA,2025-W23,NK-LEBRON-RED-10,4274,321,4595,4810,3285
Packaging,FIRM,SUP-China-SHH,Baseline_v2,Make,Safety-Stock-Build,ORD-2025-000042,DC-Memphis-TN,2025-W28,NK-LEBRON-GRY-9,1018,4154,5172,5234,3125
Semi-Finished,FIRM,SUP-China-SHH,OP_Plan_2025,Buy,Replenishment,ORD-2025-000043,DC-Tokyo-JP,2025-W06,NK-LEBRON-GLD-13,156,1104,1260,1232,793
Finished-Goods,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Make-to-Stock,ORD-2025-000044,DC-Laakdal-BE,2025-W21,NK-FREE-RN-BLU-10,2944,420,3364,3487,1798
Semi-Finished,FIRM,SUP-Mexico-MTY,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000045,DC-Sao-Paulo-BR,2025-W05,NK-FREE-RN-BLU-13,484,3310,3794,3618,1978
Finished-Goods,FORECAST,SUP-China-GZH,OP_Plan_2025,Buy,Safety-Stock-Build,ORD-2025-000046,DC-Dubai-UAE,2025-W01,NK-KD-OGR-11,3579,929,4508,4394,2889
WIP,FORECAST,SUP-China-GZH,Baseline_v2,Buy,Safety-Stock-Build,ORD-2025-000047,DC-Tokyo-JP,2025-W30,NK-LEBRON-BLK-10,320,44,364,363,242
WIP,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Make,Make-to-Order,ORD-2025-000048,DC-Memphis-TN,2025-W18,NK-ALPHAFLY-OGR-12,759,47,806,815,608
Raw-Material,FORECAST,SUP-China-GZH,Baseline_v1,Buy,Seasonal-Build,ORD-2025-000049,DC-Shanghai-CN,2025-W10,NK-METCON-PPL-7,546,124,670,666,545
WIP,FORECAST,SUP-China-GZH,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000050,DC-Sao-Paulo-BR,2025-W16,NK-AIR-MAX-GLD-9,2953,246,3199,3237,2012
WIP,FORECAST,SUP-India-CHN,Baseline_v2,Buy,Make-to-Order,ORD-2025-000051,DC-Laakdal-BE,2025-W19,NK-BLAZER-PPL-8,3155,305,3460,3429,2763
Raw-Material,FIRM,SUP-Vietnam-HCM,Baseline_v2,Buy,Replenishment,ORD-2025-000052,DC-Portland-OR,2025-W26,NK-JORDAN-OGR-11,443,1229,1672,1677,1047
Packaging,FORECAST,SUP-Vietnam-HCM,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000053,DC-Shanghai-CN,2025-W15,NK-HUARACHE-GLD-13,2735,533,3268,3227,1616
WIP,FIRM,SUP-Mexico-MTY,Consensus_v1,Transfer,Replenishment,ORD-2025-000054,DC-Sao-Paulo-BR,2025-W23,NK-CORTEZ-PPL-8,485,2031,2516,2506,1908
Semi-Finished,FORECAST,SUP-China-SHH,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000055,DC-Portland-OR,2025-W39,NK-AIR-MAX-WHT-12,284,77,361,357,191
Semi-Finished,FIRM,SUP-Indonesia-JKT,Consensus_v2,Transfer,Make-to-Order,ORD-2025-000056,DC-Sao-Paulo-BR,2025-W08,NK-AIR-MAX-RED-7,192,675,867,882,684
Semi-Finished,FIRM,SUP-Bangladesh-DAC,OP_Plan_2025,Buy,Make-to-Stock,ORD-2025-000057,DC-Tokyo-JP,2025-W22,NK-ZOOM-PEGA-BLU-7,408,1157,1565,1576,984
Finished-Goods,FIRM,SUP-Cambodia-PNH,Consensus_v1,Transfer,Seasonal-Build,ORD-2025-000058,DC-Shanghai-CN,2025-W24,NK-ZOOM-PEGA-RED-13,202,952,1154,1129,633
WIP,FIRM,SUP-Bangladesh-DAC,Baseline_v1,Make,Replenishment,ORD-2025-000059,DC-Johannesburg-ZA,2025-W26,NK-FREE-RN-PPL-7,1476,4204,5680,5542,3102
Finished-Goods,FORECAST,SUP-Indonesia-JKT,OP_Plan_2025,Make,Replenishment,ORD-2025-000060,DC-Sao-Paulo-BR,2025-W36,NK-VAPORFLY-RED-11,916,125,1041,1041,608
Semi-Finished,FORECAST,SUP-Mexico-MTY,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000061,DC-Portland-OR,2025-W17,NK-CORTEZ-GLD-7,348,52,400,382,323
Packaging,FORECAST,SUP-Indonesia-JKT,OP_Plan_2025,Transfer,Make-to-Stock,ORD-2025-000062,DC-Memphis-TN,2025-W12,NK-LEBRON-NVY-13,2019,326,2345,2445,1933
WIP,FORECAST,SUP-India-CHN,OP_Plan_2025,Buy,Replenishment,ORD-2025-000063,DC-Laakdal-BE,2025-W14,NK-ALPHAFLY-GLD-13,2300,645,2945,3031,1729
WIP,FIRM,SUP-India-CHN,Baseline_v1,Transfer,Make-to-Stock,ORD-2025-000064,DC-Portland-OR,2025-W17,NK-AIR-MAX-BLK-9,1341,3299,4640,4611,2913
WIP,FIRM,SUP-Mexico-MTY,Baseline_v2,Transfer,Seasonal-Build,ORD-2025-000065,DC-Portland-OR,2025-W52,NK-REACT-OGR-12,719,2462,3181,3059,2535
Packaging,FORECAST,SUP-Bangladesh-DAC,Baseline_v2,Make,Seasonal-Build,ORD-2025-000066,DC-Laakdal-BE,2025-W10,NK-BLAZER-WHT-13,3237,320,3557,3467,2636
Semi-Finished,FIRM,SUP-India-CHN,Consensus_v2,Buy,Make-to-Order,ORD-2025-000067,DC-Laakdal-BE,2025-W31,NK-BLAZER-NVY-13,594,2066,2660,2687,1815
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Consensus_v1,Make,Seasonal-Build,ORD-2025-000068,DC-Johannesburg-ZA,2025-W18,NK-AIR-FORCE-GRY-9,2297,281,2578,2495,2040
Semi-Finished,FIRM,SUP-Mexico-MTY,Baseline_v2,Buy,Safety-Stock-Build,ORD-2025-000069,DC-Sao-Paulo-BR,2025-W09,NK-LEBRON-OGR-11,462,2941,3403,3545,2752
Raw-Material,FIRM,SUP-Bangladesh-DAC,Consensus_v2,Make,Make-to-Stock,ORD-2025-000070,DC-Portland-OR,2025-W51,NK-BLAZER-NVY-10,229,602,831,799,465
WIP,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Buy,Make-to-Order,ORD-2025-000071,DC-Laakdal-BE,2025-W38,NK-ZOOM-PEGA-OGR-7,1598,401,1999,2056,1462
Finished-Goods,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Make,Seasonal-Build,ORD-2025-000072,DC-Johannesburg-ZA,2025-W33,NK-JORDAN-PPL-8,2175,586,2761,2632,2156
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Make,Safety-Stock-Build,ORD-2025-000073,DC-Sao-Paulo-BR,2025-W40,NK-AIR-MAX-OGR-8,1214,144,1358,1360,1144
Semi-Finished,FIRM,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Replenishment,ORD-2025-000074,DC-Memphis-TN,2025-W01,NK-BLAZER-RED-7,348,1264,1612,1660,1032
Packaging,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Transfer,Replenishment,ORD-2025-000075,DC-Johannesburg-ZA,2025-W10,NK-ZOOM-PEGA-GLD-10,2311,428,2739,2738,2102
WIP,FORECAST,SUP-Mexico-MTY,Consensus_v1,Transfer,Seasonal-Build,ORD-2025-000076,DC-Johannesburg-ZA,2025-W47,NK-HUARACHE-RED-10,286,26,312,316,160
WIP,FORECAST,SUP-Mexico-MTY,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000077,DC-Dubai-UAE,2025-W31,NK-ALPHAFLY-PPL-11,2616,557,3173,3328,2366
Packaging,FORECAST,SUP-India-CHN,Consensus_v2,Make,Make-to-Order,ORD-2025-000078,DC-Portland-OR,2025-W47,NK-LEBRON-GLD-10,207,17,224,213,120
Finished-Goods,FIRM,SUP-Indonesia-JKT,OP_Plan_2025,Transfer,Safety-Stock-Build,ORD-2025-000079,DC-Memphis-TN,2025-W22,NK-KD-GLD-12,357,1076,1433,1399,1005
Finished-Goods,FORECAST,SUP-Mexico-MTY,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000080,DC-Sao-Paulo-BR,2025-W09,NK-AIR-MAX-BLK-10,2310,581,2891,2869,1457
Semi-Finished,FORECAST,SUP-Indonesia-JKT,Consensus_v2,Buy,Make-to-Order,ORD-2025-000081,DC-Portland-OR,2025-W37,NK-BLAZER-BLK-9,2190,229,2419,2302,1887
Raw-Material,FORECAST,SUP-China-SHH,OP_Plan_2025,Buy,Seasonal-Build,ORD-2025-000082,DC-Sao-Paulo-BR,2025-W10,NK-CORTEZ-OGR-10,925,62,987,1026,826
Semi-Finished,FORECAST,SUP-China-SHH,Consensus_v1,Make,Seasonal-Build,ORD-2025-000083,DC-Tokyo-JP,2025-W11,NK-ZOOM-PEGA-WHT-10,3201,524,3725,3895,2198
Semi-Finished,FIRM,SUP-Mexico-MTY,Baseline_v1,Make,Safety-Stock-Build,ORD-2025-000084,DC-Sao-Paulo-BR,2025-W20,NK-KD-GRY-10,882,2644,3526,3517,2575
Finished-Goods,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Transfer,Make-to-Order,ORD-2025-000085,DC-Portland-OR,2025-W39,NK-FREE-RN-WHT-11,795,164,959,944,588
WIP,FIRM,SUP-China-GZH,Baseline_v1,Buy,Make-to-Stock,ORD-2025-000086,DC-Memphis-TN,2025-W49,NK-METCON-PPL-13,21,188,209,200,122
Finished-Goods,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Transfer,Replenishment,ORD-2025-000087,DC-Memphis-TN,2025-W41,NK-REACT-NVY-10,4000,862,4862,4939,3666
Semi-Finished,FIRM,SUP-Cambodia-PNH,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000088,DC-Laakdal-BE,2025-W23,NK-DUNK-GRY-7,722,2720,3442,3432,2091
WIP,FORECAST,SUP-China-SHH,Consensus_v2,Buy,Make-to-Order,ORD-2025-000089,DC-Laakdal-BE,2025-W37,NK-BLAZER-NVY-10,395,65,460,466,339
Semi-Finished,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Buy,Make-to-Order,ORD-2025-000090,DC-Shanghai-CN,2025-W02,NK-KD-RED-11,1950,352,2302,2310,1689
WIP,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Buy,Make-to-Stock,ORD-2025-000091,DC-Tokyo-JP,2025-W44,NK-AIR-MAX-BLK-12,3898,247,4145,4096,3384
Finished-Goods,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000092,DC-Dubai-UAE,2025-W30,NK-REACT-GLD-7,1155,195,1350,1327,906
Finished-Goods,FORECAST,SUP-Mexico-MTY,Consensus_v2,Transfer,Make-to-Order,ORD-2025-000093,DC-Tokyo-JP,2025-W37,NK-REACT-BLU-10,2821,319,3140,2997,1613
Packaging,FORECAST,SUP-China-SHH,Consensus_v1,Buy,Seasonal-Build,ORD-2025-000094,DC-Laakdal-BE,2025-W45,NK-LEBRON-BLK-7,4276,1114,5390,5607,4744
Finished-Goods,FIRM,SUP-Vietnam-HCM,Consensus_v1,Make,Make-to-Stock,ORD-2025-000095,DC-Tokyo-JP,2025-W42,NK-FREE-RN-BLK-7,115,334,449,462,332
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Make,Seasonal-Build,ORD-2025-000096,DC-Memphis-TN,2025-W11,NK-JORDAN-GLD-8,3232,285,3517,3420,1977
Finished-Goods,FIRM,SUP-India-CHN,Consensus_v1,Transfer,Make-to-Order,ORD-2025-000097,DC-Johannesburg-ZA,2025-W15,NK-CORTEZ-PPL-13,278,716,994,1029,806
Semi-Finished,FIRM,SUP-India-CHN,Baseline_v1,Make,Seasonal-Build,ORD-2025-000098,DC-Johannesburg-ZA,2025-W29,NK-ZOOM-PEGA-GRN-9,441,2842,3283,3191,2358
WIP,FORECAST,SUP-Mexico-MTY,Consensus_v2,Buy,Replenishment,ORD-2025-000099,DC-Laakdal-BE,2025-W48,NK-BLAZER-GLD-8,1613,346,1959,1913,1544
WIP,FORECAST,SUP-India-CHN,Baseline_v2,Buy,Replenishment,ORD-2025-000100,DC-Sao-Paulo-BR,2025-W23,NK-FREE-RN-GRN-12,3099,659,3758,3852,2139
Semi-Finished,FIRM,SUP-China-SHH,Baseline_v2,Buy,Replenishment,ORD-2025-000101,DC-Portland-OR,2025-W41,NK-HUARACHE-OGR-13,253,1511,1764,1820,1440
Raw-Material,FIRM,SUP-Vietnam-HCM,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000102,DC-Shanghai-CN,2025-W15,NK-LEBRON-OGR-7,611,1309,1920,1848,1107
Finished-Goods,FIRM,SUP-Indonesia-JKT,Baseline_v1,Make,Make-to-Order,ORD-2025-000103,DC-Johannesburg-ZA,2025-W18,NK-METCON-WHT-12,549,3861,4410,4322,3232
Semi-Finished,FORECAST,SUP-China-GZH,Baseline_v1,Make,Replenishment,ORD-2025-000104,DC-Laakdal-BE,2025-W23,NK-HUARACHE-PPL-12,3029,479,3508,3541,2245
Packaging,FORECAST,SUP-Mexico-MTY,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000105,DC-Dubai-UAE,2025-W11,NK-BLAZER-GRY-9,1757,314,2071,2132,1583
WIP,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Transfer,Replenishment,ORD-2025-000106,DC-Portland-OR,2025-W38,NK-JORDAN-PPL-9,326,68,394,408,341
Finished-Goods,FORECAST,SUP-India-CHN,OP_Plan_2025,Transfer,Replenishment,ORD-2025-000107,DC-Dubai-UAE,2025-W50,NK-ALPHAFLY-RED-7,1662,438,2100,2198,1241
Finished-Goods,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Safety-Stock-Build,ORD-2025-000108,DC-Shanghai-CN,2025-W36,NK-METCON-GLD-10,774,46,820,829,645
WIP,FIRM,SUP-Mexico-MTY,OP_Plan_2025,Buy,Seasonal-Build,ORD-2025-000109,DC-Memphis-TN,2025-W30,NK-ALPHAFLY-BLU-8,628,1704,2332,2278,1774
WIP,FORECAST,SUP-Bangladesh-DAC,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000110,DC-Shanghai-CN,2025-W46,NK-JORDAN-GRN-9,2738,333,3071,3181,2458
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Baseline_v1,Buy,Make-to-Stock,ORD-2025-000111,DC-Tokyo-JP,2025-W52,NK-AIR-MAX-BLU-7,1094,144,1238,1292,678
Packaging,FIRM,SUP-Vietnam-HCM,Consensus_v1,Buy,Replenishment,ORD-2025-000112,DC-Laakdal-BE,2025-W06,NK-HUARACHE-OGR-9,1336,3424,4760,4913,2527
Packaging,FORECAST,SUP-Bangladesh-DAC,Consensus_v1,Transfer,Replenishment,ORD-2025-000113,DC-Shanghai-CN,2025-W16,NK-DUNK-BLU-13,400,71,471,488,365
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000114,DC-Tokyo-JP,2025-W25,NK-JORDAN-PPL-12,3003,579,3582,3461,2261
Packaging,FIRM,SUP-Indonesia-JKT,Baseline_v2,Transfer,Seasonal-Build,ORD-2025-000115,DC-Johannesburg-ZA,2025-W41,NK-METCON-PPL-9,780,2053,2833,2814,1450
Semi-Finished,FIRM,SUP-Cambodia-PNH,Baseline_v2,Buy,Safety-Stock-Build,ORD-2025-000116,DC-Tokyo-JP,2025-W04,NK-LEBRON-GRY-9,373,2314,2687,2621,1734
Semi-Finished,FIRM,SUP-Indonesia-JKT,Consensus_v2,Make,Make-to-Order,ORD-2025-000117,DC-Shanghai-CN,2025-W06,NK-JORDAN-GRY-13,1564,3260,4824,4861,3176
Finished-Goods,FIRM,SUP-China-GZH,Baseline_v2,Make,Make-to-Order,ORD-2025-000118,DC-Shanghai-CN,2025-W14,NK-CORTEZ-GRY-11,464,2672,3136,3174,2288
Finished-Goods,FORECAST,SUP-China-SHH,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000119,DC-Laakdal-BE,2025-W25,NK-AIR-MAX-GRN-10,1827,139,1966,1886,1210
WIP,FIRM,SUP-Indonesia-JKT,Consensus_v1,Make,Make-to-Order,ORD-2025-000120,DC-Tokyo-JP,2025-W10,NK-ALPHAFLY-WHT-7,983,2451,3434,3307,2776
Packaging,FORECAST,SUP-China-SHH,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000121,DC-Sao-Paulo-BR,2025-W37,NK-REACT-OGR-8,1980,226,2206,2251,1257
Packaging,FORECAST,SUP-Indonesia-JKT,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000122,DC-Shanghai-CN,2025-W26,NK-CORTEZ-NVY-13,3308,499,3807,3829,2638
Packaging,FORECAST,SUP-Indonesia-JKT,Consensus_v2,Buy,Make-to-Order,ORD-2025-000123,DC-Johannesburg-ZA,2025-W43,NK-HUARACHE-WHT-9,981,109,1090,1046,737
Packaging,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Transfer,Seasonal-Build,ORD-2025-000124,DC-Shanghai-CN,2025-W16,NK-BLAZER-OGR-12,2747,730,3477,3482,2336
Raw-Material,FORECAST,SUP-Vietnam-HCM,Baseline_v2,Transfer,Make-to-Order,ORD-2025-000125,DC-Dubai-UAE,2025-W50,NK-HUARACHE-GLD-13,877,85,962,928,540
Semi-Finished,FORECAST,SUP-Mexico-MTY,OP_Plan_2025,Buy,Make-to-Order,ORD-2025-000126,DC-Dubai-UAE,2025-W28,NK-ALPHAFLY-BLU-10,306,81,387,393,226
Finished-Goods,FORECAST,SUP-China-GZH,Consensus_v2,Make,Seasonal-Build,ORD-2025-000127,DC-Dubai-UAE,2025-W46,NK-ZOOM-PEGA-NVY-8,1637,385,2022,2073,1102
Finished-Goods,FORECAST,SUP-India-CHN,Baseline_v1,Make,Seasonal-Build,ORD-2025-000128,DC-Laakdal-BE,2025-W29,NK-JORDAN-NVY-7,3229,808,4037,4165,2257
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000129,DC-Memphis-TN,2025-W08,NK-CORTEZ-GLD-12,2023,123,2146,2074,1503
Packaging,FORECAST,SUP-China-SHH,Consensus_v1,Transfer,Make-to-Order,ORD-2025-000130,DC-Shanghai-CN,2025-W43,NK-LEBRON-PPL-12,3540,976,4516,4357,2981
WIP,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000131,DC-Dubai-UAE,2025-W19,NK-REACT-GLD-9,1733,520,2253,2355,1717
Packaging,FIRM,SUP-Bangladesh-DAC,Baseline_v2,Make,Make-to-Stock,ORD-2025-000132,DC-Tokyo-JP,2025-W04,NK-VAPORFLY-NVY-8,471,1138,1609,1615,983
